HUC4,noBCG2,noBCG3,noBCG4,noBCG5,noBCG6,noBCG,BCG2,BCG3,BCG4,BCG5,BCG6,HUC4Area,BCG
101,2,2,5,0,1,10,20,20,50,0,10,14090.3,3.6
102,0,1,2,1,1,5,0,20,40,20,20,8610.1,4.4
103,0,1,1,1,0,3,0,33.3,33.3,33.3,0,5903,4
104,0,0,1,0,1,2,0,0,50,0,50,3527.2,5
105,0,1,2,0,1,4,0,25,50,0,25,11566.1,4.3
106,0,0,3,0,0,3,0,0,100,0,0,4852.7,4
107,0,0,4,1,1,6,0,0,66.7,16.7,16.7,5005.2,4.5
108,0,3,9,2,0,14,0,21.4,64.3,14.3,0,11265,3.9
109,0,0,2,3,0,5,0,0,40,60,0,7405.4,4.6
110,0,1,5,0,0,6,0,16.7,83.3,0,0,4546.7,3.8
202,2,6,0,0,0,8,25,75,0,0,0,12665,2.8
203,0,1,7,0,0,8,0,12.5,87.5,0,0,7327.9,3.9
204,2,1,8,3,3,17,11.8,5.9,47.1,17.6,17.6,18023.6,4.2
205,0,11,8,0,0,19,0,57.9,42.1,0,0,27499.7,3.4
206,0,0,5,1,0,6,0,0,83.3,16.7,0,5871.6,4.2
207,0,4,4,3,0,11,0,36.4,36.4,27.3,0,14678.9,3.9
208,0,4,13,2,0,19,0,21.1,68.4,10.5,0,20683.7,3.9
301,0,3,6,2,1,12,0,25,50,16.7,8.3,19062.2,4.1
302,0,1,10,0,0,11,0,9.1,90.9,0,0,14280,3.9
303,0,2,3,1,0,6,0,33.3,50,16.7,0,9207.4,3.8
304,1,7,3,1,1,13,7.7,53.8,23.1,7.7,7.7,18864.1,3.5
305,0,4,2,14,2,22,0,18.2,9.1,63.6,9.1,23698,4.6
306,0,2,8,4,0,14,0,14.3,57.1,28.6,0,16913.7,4.1
307,0,1,3,7,1,12,0,8.3,25,58.3,8.3,20861.8,4.7
308,0,4,1,0,1,6,0,66.7,16.7,0,16.7,12185.3,3.7
309,0,0,9,0,0,9,0,0,100,0,0,20209.2,4
310,0,3,7,1,0,11,0,27.3,63.6,9.1,0,10642,3.8
311,1,8,0,0,0,9,11.1,88.9,0,0,0,14114,2.9
312,0,2,0,1,0,3,0,66.7,0,33.3,0,3797.3,3.7
313,0,3,9,2,0,14,0,21.4,64.3,14.3,0,20626.4,3.9
314,2,10,2,1,0,15,13.3,66.7,13.3,6.7,0,15608.7,3.1
315,0,1,9,4,0,14,0,7.1,64.3,28.6,0,22740.1,4.2
316,0,2,12,3,1,18,0,11.1,66.7,16.7,5.6,21832.3,4.2
317,1,1,1,5,1,9,11.1,11.1,11.1,55.6,11.1,12363.9,4.4
318,0,1,3,1,0,5,0,20,60,20,0,8688.8,4
401,1,4,1,0,0,6,16.7,66.7,16.7,0,0,9817.5,3
402,1,6,1,1,0,9,11.1,66.7,11.1,11.1,0,39904.5,3.2
403,0,7,8,1,0,16,0,43.8,50,6.3,0,18714.5,3.6
404,0,0,2,1,0,3,0,0,66.7,33.3,0,1986.1,4.3
405,0,2,4,1,0,7,0,28.6,57.1,14.3,0,12930,3.9
406,0,7,1,0,0,8,0,87.5,12.5,0,0,33721.2,3.1
407,0,7,0,0,0,7,0,100,0,0,0,8146.3,3
408,2,7,2,0,0,11,18.2,63.6,18.2,0,0,34271.3,3
409,1,0,1,1,2,5,20,0,20,20,40,6104.7,4.6
410,0,0,9,3,0,12,0,0,75,25,0,11870.5,4.3
411,0,0,0,2,2,4,0,0,0,50,50,3039.1,5.5
412,0,5,0,0,0,5,0,100,0,0,0,13617.6,3
413,0,1,2,0,0,3,0,33.3,66.7,0,0,3563.9,3.7
414,1,2,2,0,0,5,20,40,40,0,0,6780.4,3.2
415,4,17,1,0,1,23,17.4,73.9,4.3,0,4.3,33773.8,3
501,0,4,2,2,1,9,0,44.4,22.2,22.2,11.1,11728.5,4
502,0,3,3,0,0,6,0,50,50,0,0,7376.2,3.5
503,0,5,3,1,1,10,0,50,30,10,10,13392.8,3.8
504,1,5,0,0,0,6,16.7,83.3,0,0,0,8050,2.8
505,1,5,3,0,0,9,11.1,55.6,33.3,0,0,12248.4,3.2
506,0,3,0,0,0,3,0,100,0,0,0,6512.3,3
507,0,1,5,0,0,6,0,16.7,83.3,0,0,5973,3.8
508,0,3,0,0,0,3,0,100,0,0,0,5368.9,3
509,0,5,2,0,0,7,0,71.4,28.6,0,0,8901.4,3.3
510,0,3,4,0,0,7,0,42.9,57.1,0,0,10671.3,3.6
511,0,3,3,0,0,6,0,50,50,0,0,9234.3,3.5
512,0,2,18,4,0,24,0,8.3,75,16.7,0,32953.5,4.1
513,0,12,2,0,0,14,0,85.7,14.3,0,0,17911.3,3.1
514,0,2,6,2,0,10,0,20,60,20,0,12599.9,4
601,1,15,0,0,0,16,6.3,93.8,0,0,0,17292.7,2.9
602,0,2,2,0,0,4,0,50,50,0,0,5160.5,3.5
603,0,3,3,0,0,6,0,50,50,0,0,10364.4,3.5
604,0,5,1,0,0,6,0,83.3,16.7,0,0,8089.5,3.2
701,0,4,9,2,0,15,0,26.7,60,13.3,0,20110.4,3.9
702,0,0,6,6,0,12,0,0,50,50,0,17008.1,4.5
703,0,3,2,0,0,5,0,60,40,0,0,7720,3.4
704,0,3,5,0,0,8,0,37.5,62.5,0,0,10760.5,3.6
705,0,7,0,0,0,7,0,100,0,0,0,9539.1,3
706,0,4,2,0,0,6,0,66.7,33.3,0,0,8593.8,3.3
707,0,4,2,0,0,6,0,66.7,33.3,0,0,11932.8,3.3
708,0,8,7,1,0,16,0,50,43.8,6.3,0,22935.5,3.6
709,0,0,7,0,0,7,0,0,100,0,0,10917.4,4
710,0,2,6,1,0,9,0,22.2,66.7,11.1,0,14456.6,3.9
711,2,3,4,0,0,9,22.2,33.3,44.4,0,0,10081.2,3.2
712,0,1,5,1,0,7,0,14.3,71.4,14.3,0,10932.2,4
713,0,3,7,2,0,12,0,25,58.3,16.7,0,17897.4,3.9
714,0,4,8,0,0,12,0,33.3,66.7,0,0,17090.1,3.7
801,0,2,7,4,0,13,0,15.4,53.8,30.8,0,11761.9,4.2
802,0,2,0,6,3,11,0,18.2,0,54.5,27.3,16174.7,4.9
803,0,1,1,6,2,10,0,10,10,60,20,14051.4,4.9
804,0,0,4,10,2,16,0,0,25,62.5,12.5,20507.5,4.9
805,0,0,0,1,2,3,0,0,0,33.3,66.7,5294.9,5.7
806,0,1,0,5,1,7,0,14.3,0,71.4,14.3,7078.9,4.9
807,0,1,3,1,2,7,0,14.3,42.9,14.3,28.6,5820.2,4.6
808,0,0,1,2,6,9,0,0,11.1,22.2,66.7,14598.6,5.6
809,0,0,0,1,5,6,0,0,0,16.7,83.3,11289.7,5.8
901,0,1,5,1,0,7,0,14.3,71.4,14.3,0,17778.3,4
902,0,1,20,7,1,29,0,3.4,69,24.1,3.4,43323.9,4.3
903,0,5,3,0,0,8,0,62.5,37.5,0,0,23976.3,3.4
904,1,0,0,1,0,2,50,0,0,50,0,3364.7,3.5
1002,0,3,3,1,1,8,0,37.5,37.5,12.5,12.5,14035,4
1003,3,5,2,0,0,10,30,50,20,0,0,19858.6,2.9
1004,1,7,3,0,0,11,9.1,63.6,27.3,0,0,23477.6,3.2
1005,0,1,13,2,0,16,0,6.3,81.3,12.5,0,23110.3,4.1
1006,0,0,5,2,0,7,0,0,71.4,28.6,0,13234,4.3
1007,2,4,1,1,0,8,25,50,12.5,12.5,0,14460.6,3.1
1008,0,4,9,3,0,16,0,25,56.3,18.8,0,22876.7,3.9
1009,1,2,8,1,0,12,8.3,16.7,66.7,8.3,0,18802.4,3.8
1010,4,1,0,0,0,5,80,20,0,0,0,13889.8,2.2
1011,0,1,3,3,0,7,0,14.3,42.9,42.9,0,17234.8,4.3
1012,0,1,6,7,2,16,0,6.3,37.5,43.8,12.5,24221.1,4.6
1013,0,1,11,6,0,18,0,5.6,61.1,33.3,0,37085.9,4.3
1014,0,1,2,6,0,9,0,11.1,22.2,66.7,0,20089.3,4.6
1015,0,4,3,0,0,7,0,57.1,42.9,0,0,14323.6,3.4
1016,0,0,1,9,0,10,0,0,10,90,0,21136.3,4.9
1017,0,0,5,2,0,7,0,0,71.4,28.6,0,14669.9,4.3
1018,0,3,11,0,0,14,0,21.4,78.6,0,0,31070.4,3.8
1019,0,3,12,3,0,18,0,16.7,66.7,16.7,0,24163.2,4
1020,0,0,0,6,0,6,0,0,0,100,0,8205.3,5
1021,0,1,4,5,0,10,0,10,40,50,0,15094.5,4.4
1022,0,0,1,3,0,4,0,0,25,75,0,6998.7,4.8
1023,0,0,6,1,0,7,0,0,85.7,14.3,0,9366.7,4.1
1024,0,3,9,1,0,13,0,23.1,69.2,7.7,0,13605,3.8
1025,0,1,13,1,2,17,0,5.9,76.5,5.9,11.8,24911.7,4.2
1026,1,2,10,2,0,15,6.7,13.3,66.7,13.3,0,19911.2,3.9
1027,0,0,6,5,0,11,0,0,54.5,45.5,0,15263.3,4.5
1028,0,4,2,0,0,6,0,66.7,33.3,0,0,10958.5,3.3
1029,2,8,4,0,0,14,14.3,57.1,28.6,0,0,18611.7,3.1
1030,0,4,1,0,0,5,0,80,20,0,0,10346.7,3.2
1101,0,5,3,4,2,14,0,35.7,21.4,28.6,14.3,22347.7,4.2
1102,1,0,9,1,2,13,7.7,0,69.2,7.7,15.4,24925.3,4.2
1103,0,2,16,0,0,18,0,11.1,88.9,0,0,20535.9,3.9
1104,0,0,1,1,6,8,0,0,12.5,12.5,75,12021.7,5.6
1105,0,0,0,3,0,3,0,0,0,100,0,7042.8,5
1106,1,1,2,1,1,6,16.7,16.7,33.3,16.7,16.7,9804.8,4
1107,0,11,5,0,0,16,0,68.8,31.3,0,0,20792.1,3.3
1108,0,2,6,0,0,8,0,25,75,0,0,12473.8,3.8
1109,0,0,2,0,8,10,0,0,20,0,80,16969.7,5.6
1110,1,1,8,0,0,10,10,10,80,0,0,17954.9,3.7
1111,1,1,2,6,2,12,8.3,8.3,16.7,50,16.7,15801.2,4.6
1112,0,0,10,0,1,11,0,0,90.9,0,9.1,14918.9,4.2
1113,0,1,14,4,0,19,0,5.3,73.7,21.1,0,24717.6,4.2
1114,0,2,4,18,1,25,0,8,16,72,4,27653,4.7
1201,0,0,4,1,0,5,0,0,80,20,0,9845.3,4.2
1202,0,1,5,1,0,7,0,14.3,71.4,14.3,0,10047.6,4
1203,0,2,10,0,0,12,0,16.7,83.3,0,0,17910,3.8
1204,6,1,0,1,1,9,66.7,11.1,0,11.1,11.1,8313.5,2.9
1205,0,0,0,7,0,7,0,0,0,100,0,14501.6,5
1206,3,3,2,0,1,9,33.3,33.3,22.2,0,11.1,15610,3.2
1207,4,3,2,0,0,9,44.4,33.3,22.2,0,0,15538.2,2.8
1208,0,0,0,0,8,8,0,0,0,0,100,16078.8,6
1209,6,9,5,0,0,20,30,45,25,0,0,28401.2,3
1210,13,1,2,1,0,17,76.5,5.9,11.8,5.9,0,18190.6,2.5
1211,3,13,2,0,1,19,15.8,68.4,10.5,0,5.3,28785.7,3.1
1301,0,1,3,0,1,5,0,20,60,0,20,7611.8,4.2
1302,0,1,10,2,0,13,0,7.7,76.9,15.4,0,27122.7,4.1
1303,0,0,1,3,1,5,0,0,20,60,20,21743.8,5
1304,0,0,1,1,14,16,0,0,6.3,6.3,87.5,32583.5,5.8
1305,0,0,0,4,0,4,0,0,0,100,0,17572.7,5
1306,0,1,0,10,0,11,0,9.1,0,90.9,0,23532,4.8
1307,0,0,11,0,1,12,0,0,91.7,0,8.3,20627.5,4.2
1308,3,0,0,0,0,3,100,0,0,0,0,12688.5,2
1309,0,1,0,1,0,2,0,50,0,50,0,5269.1,4
1310,0,0,0,0,0,1,0,0,0,0,0,26107.8,0
1311,0,0,0,0,0,1,0,0,0,0,0,23321.5,0
1312,0,0,0,0,0,1,0,0,0,0,0,12662.7,0
1401,0,0,5,0,0,5,0,0,100,0,0,9838.1,4
1402,0,1,3,2,0,6,0,16.7,50,33.3,0,8027.2,4.2
1403,1,1,3,0,0,5,20,20,60,0,0,8363.7,3.4
1404,0,1,7,1,1,10,0,10,70,10,10,20756.3,4.2
1405,0,1,6,0,0,7,0,14.3,85.7,0,0,13259.7,3.9
1406,0,0,7,1,0,8,0,0,87.5,12.5,0,14556.6,4.1
1407,0,0,2,5,0,7,0,0,28.6,71.4,0,13615.7,4.7
1408,1,0,7,3,1,12,8.3,0,58.3,25,8.3,24930.3,4.3
1501,0,0,1,13,1,15,0,0,6.7,86.7,6.7,30271,5
1502,0,0,16,2,0,18,0,0,88.9,11.1,0,27057.1,4.1
1503,0,1,9,1,1,12,0,8.3,75,8.3,8.3,20750.3,4.2
1504,0,0,7,0,0,7,0,0,100,0,0,15192.1,4
1505,0,1,8,0,1,10,0,10,80,0,10,17981.7,4.1
1506,0,0,9,0,0,9,0,0,100,0,0,13472.1,4
1507,0,0,1,5,1,7,0,0,14.3,71.4,14.3,15079.2,5
1508,0,0,0,7,0,7,0,0,0,100,0,24041.6,5
1601,0,2,3,1,0,6,0,33.3,50,16.7,0,7514.5,3.8
1602,0,2,11,2,1,16,0,12.5,68.8,12.5,6.3,28685.5,4.1
1603,0,1,1,6,1,9,0,11.1,11.1,66.7,11.1,16475,4.8
1604,0,1,4,9,0,14,0,7.1,28.6,64.3,0,28639.7,4.6
1605,1,1,8,1,0,11,9.1,9.1,72.7,9.1,0,12679.8,3.8
1606,0,0,1,13,1,15,0,0,6.7,86.7,6.7,47723.8,5
1701,3,21,4,2,0,30,10,70,13.3,6.7,0,44234.8,3.2
1702,4,8,2,1,1,16,25,50,12.5,6.3,6.3,33394.6,3.2
1703,1,1,1,0,0,3,33.3,33.3,33.3,0,0,6149.9,3
1704,1,18,6,1,0,26,3.8,69.2,23.1,3.8,0,35872.7,3.3
1705,7,12,7,1,0,27,25.9,44.4,25.9,3.7,0,36986.9,3.1
1706,9,12,5,0,2,28,32.1,42.9,17.9,0,7.1,35044.3,3.1
1707,0,5,9,1,2,17,0,29.4,52.9,5.9,11.8,29903.2,4
1708,0,3,2,1,0,6,0,50,33.3,16.7,0,6224.2,3.7
1709,0,5,4,3,0,12,0,41.7,33.3,25,0,11466.8,3.8
1710,2,13,6,3,1,25,8,52,24,12,4,25188.9,3.5
1711,2,1,15,2,1,21,9.5,4.8,71.4,9.5,4.8,20447.3,4
1712,0,1,7,0,1,9,0,11.1,77.8,0,11.1,17429.9,4.1
1801,0,5,13,1,3,22,0,22.7,59.1,4.5,13.6,26162.9,4.1
1802,2,3,17,3,3,28,7.1,10.7,60.7,10.7,10.7,27804.4,4.1
1803,0,2,7,1,0,10,0,20,70,10,0,16408.4,3.9
1804,0,1,1,2,9,13,0,7.7,7.7,15.4,69.2,15824.8,5.5
1805,0,2,2,2,0,6,0,33.3,33.3,33.3,0,5370.6,4
1806,0,10,2,0,0,12,0,83.3,16.7,0,0,13238.2,3.2
1807,0,4,9,3,0,16,0,25,56.3,18.8,0,13847,3.9
1808,0,0,0,0,0,3,0,0,0,0,0,4552.5,0
1809,1,8,2,0,0,11,9.1,72.7,18.2,0,0,28289.4,3.1
1810,0,2,2,1,0,5,0,40,40,20,0,17083.2,3.8
