HUC8,HUC4,region
1010002,101,NE
1010003,101,NE
1010004,101,NE
1010005,101,NE
1010006,101,NE
1010007,101,NE
1010008,101,NE
1010009,101,NE
1010010,101,NE
1010011,101,NE
1020001,102,NE
1020002,102,NE
1020003,102,NE
1020004,102,NE
1020005,102,NE
1030001,103,NE
1030002,103,NE
1030003,103,NE
1040001,104,NE
1040002,104,NE
1050001,105,
1050002,105,
1050003,105,
1050004,105,
1060001,106,NE
1060002,106,NE
1060003,106,NE
1070001,107,NE
1070002,107,NE
1070003,107,NE
1070004,107,NE
1070005,107,NE
1070006,107,NE
1080101,108,NE
1080102,108,NE
1080103,108,NE
1080104,108,NE
1080105,108,NE
1080106,108,NE
1080107,108,NE
1080201,108,NE
1080202,108,NE
1080203,108,NE
1080204,108,NE
1080205,108,NE
1080206,108,NE
1080207,108,NE
1090001,109,NE
1090002,109,NE
1090003,109,NE
1090004,109,NE
1090005,109,NE
1100001,110,
1100002,110,
1100003,110,
1100004,110,
1100005,110,
1100006,110,
2020001,202,NE
2020002,202,NE
2020003,202,NE
2020004,202,NE
2020005,202,NE
2020006,202,NE
2020007,202,NE
2020008,202,NE
2030101,203,
2030102,203,
2030103,203,
2030104,203,
2030105,203,
2030201,203,
2030202,203,
2030203,203,
2040101,204,
2040102,204,
2040103,204,
2040104,204,
2040105,204,
2040106,204,
2040201,204,
2040202,204,
2040203,204,
2040204,204,
2040205,204,
2040206,204,
2040207,204,
2040301,204,
2040302,204,
2040303,204,
2040304,204,
2050101,205,
2050102,205,
2050103,205,
2050104,205,
2050105,205,
2050106,205,
2050107,205,
2050201,205,
2050202,205,
2050203,205,
2050204,205,
2050205,205,
2050206,205,
2050301,205,
2050302,205,
2050303,205,
2050304,205,
2050305,205,
2050306,205,
2060001,206,
2060002,206,
2060003,206,
2060004,206,
2060005,206,
2060006,206,
2070001,207,
2070002,207,
2070003,207,
2070004,207,
2070005,207,
2070006,207,
2070007,207,
2070008,207,
2070009,207,
2070010,207,
2070011,207,
2080101,208,
2080102,208,
2080103,208,
2080104,208,
2080105,208,
2080106,208,
2080107,208,
2080108,208,
2080109,208,
2080110,208,
2080111,208,
2080201,208,
2080202,208,
2080203,208,
2080204,208,
2080205,208,
2080206,208,
2080207,208,
2080208,208,
3010101,301,
3010102,301,
3010103,301,
3010104,301,
3010105,301,
3010106,301,
3010107,301,
3010201,301,
3010202,301,
3010203,301,
3010204,301,
3010205,301,
3020101,302,SE
3020102,302,SE
3020103,302,SE
3020104,302,SE
3020105,302,SE
3020201,302,SE
3020202,302,SE
3020203,302,SE
3020204,302,SE
3020301,302,SE
3020302,302,SE
3030002,303,SE
3030003,303,SE
3030004,303,SE
3030005,303,SE
3030006,303,SE
3030007,303,SE
3040101,304,SE
3040102,304,SE
3040103,304,SE
3040104,304,SE
3040105,304,SE
3040201,304,SE
3040202,304,SE
3040203,304,SE
3040204,304,SE
3040205,304,SE
3040206,304,SE
3040207,304,SE
3040208,304,SE
3050101,305,
3050102,305,
3050103,305,
3050104,305,
3050105,305,
3050106,305,
3050107,305,
3050108,305,
3050109,305,
3050110,305,
3050111,305,
3050112,305,
3050201,305,
3050202,305,
3050203,305,
3050204,305,
3050205,305,
3050206,305,
3050207,305,
3050208,305,
3050209,305,
3050210,305,
3060101,306,SE
3060102,306,SE
3060103,306,SE
3060104,306,SE
3060105,306,SE
3060106,306,SE
3060107,306,SE
3060108,306,SE
3060109,306,SE
3060110,306,SE
3060201,306,SE
3060202,306,SE
3060203,306,SE
3060204,306,SE
3070101,307,SE
3070102,307,SE
3070103,307,SE
3070104,307,SE
3070105,307,SE
3070106,307,SE
3070107,307,SE
3070201,307,SE
3070202,307,SE
3070203,307,SE
3070204,307,SE
3070205,307,SE
3080101,308,SE
3080102,308,SE
3080103,308,SE
3080201,308,SE
3080202,308,SE
3080203,308,SE
3090101,309,
3090102,309,
3090103,309,
3090201,309,
3090202,309,
3090203,309,
3090204,309,
3090205,309,
3090206,309,
3100101,310,SE
3100102,310,SE
3100103,310,SE
3100201,310,SE
3100202,310,SE
3100203,310,SE
3100204,310,SE
3100205,310,SE
3100206,310,SE
3100207,310,SE
3100208,310,SE
3110101,311,SE
3110102,311,SE
3110103,311,SE
3110201,311,SE
3110202,311,SE
3110203,311,SE
3110204,311,SE
3110205,311,SE
3110206,311,SE
3120001,312,SE
3120002,312,SE
3120003,312,SE
3130001,313,SE
3130002,313,SE
3130003,313,SE
3130004,313,SE
3130005,313,SE
3130006,313,SE
3130007,313,SE
3130008,313,SE
3130009,313,SE
3130010,313,SE
3130011,313,SE
3130012,313,SE
3130013,313,SE
3130014,313,SE
3140101,314,SE
3140102,314,SE
3140103,314,SE
3140104,314,SE
3140105,314,SE
3140106,314,SE
3140107,314,SE
3140201,314,SE
3140202,314,SE
3140203,314,SE
3140301,314,SE
3140302,314,SE
3140303,314,SE
3140304,314,SE
3140305,314,SE
3150101,315,SE
3150102,315,SE
3150103,315,SE
3150104,315,SE
3150105,315,SE
3150106,315,SE
3150107,315,SE
3150108,315,SE
3150109,315,SE
3150110,315,SE
3150201,315,SE
3150202,315,SE
3150203,315,SE
3150204,315,SE
3160101,316,
3160102,316,
3160103,316,
3160104,316,
3160105,316,
3160106,316,
3160107,316,
3160108,316,
3160109,316,
3160110,316,
3160111,316,
3160112,316,
3160113,316,
3160201,316,
3160202,316,
3160203,316,
3160204,316,
3160205,316,
3170001,317,SE
3170002,317,SE
3170003,317,SE
3170004,317,SE
3170005,317,SE
3170006,317,SE
3170007,317,SE
3170008,317,SE
3170009,317,SE
3180001,318,SE
3180002,318,SE
3180003,318,SE
3180004,318,SE
3180005,318,SE
4010101,401,
4010102,401,
4010201,401,
4010202,401,
4010301,401,
4010302,401,
4020101,402,
4020102,402,
4020103,402,
4020104,402,
4020105,402,
4020201,402,
4020202,402,
4020203,402,
4020300,402,
4030101,403,
4030102,403,
4030103,403,
4030104,403,
4030105,403,
4030106,403,
4030107,403,
4030108,403,
4030109,403,
4030110,403,
4030111,403,
4030112,403,
4030201,403,
4030202,403,
4030203,403,
4030204,403,
4040001,404,
4040002,404,
4040003,404,
4050001,405,
4050002,405,
4050003,405,
4050004,405,
4050005,405,
4050006,405,
4050007,405,
4060101,406,
4060102,406,
4060103,406,
4060104,406,
4060105,406,
4060106,406,
4060107,406,
4060200,406,
4070001,407,
4070002,407,
4070003,407,
4070004,407,
4070005,407,
4070006,407,
4070007,407,
4080101,408,
4080102,408,
4080103,408,
4080104,408,
4080201,408,
4080202,408,
4080203,408,
4080204,408,
4080205,408,
4080206,408,
4080300,408,
4090001,409,
4090002,409,
4090003,409,
4090004,409,
4090005,409,
4100001,410,
4100002,410,
4100003,410,
4100004,410,
4100005,410,
4100006,410,
4100007,410,
4100008,410,
4100009,410,
4100010,410,
4100011,410,
4100012,410,
4110001,411,
4110002,411,
4110003,411,
4110004,411,
4120101,412,
4120102,412,
4120103,412,
4120104,412,
4120200,412,
4130001,413,
4130002,413,
4130003,413,
4140101,414,NE
4140102,414,NE
4140201,414,NE
4140202,414,NE
4140203,414,NE
4150101,415,NE
4150102,415,NE
4150200,415,NE
4150302,415,NE
4150303,415,NE
4150304,415,NE
4150305,415,NE
4150306,415,NE
4150307,415,NE
4150308,415,NE
4150309,415,NE
4150310,415,NE
4150401,415,NE
4150402,415,NE
4150403,415,NE
4150404,415,NE
4150405,415,NE
4150406,415,NE
4150407,415,NE
4150408,415,NE
4150409,415,NE
4150500,415,NE
4150600,415,NE
5010001,501,
5010002,501,
5010003,501,
5010004,501,
5010005,501,
5010006,501,
5010007,501,
5010008,501,
5010009,501,
5020001,502,
5020002,502,
5020003,502,
5020004,502,
5020005,502,
5020006,502,
5030101,503,
5030102,503,
5030103,503,
5030104,503,
5030105,503,
5030106,503,
5030201,503,
5030202,503,
5030203,503,
5030204,503,
5040001,504,
5040002,504,
5040003,504,
5040004,504,
5040005,504,
5040006,504,
5050001,505,
5050002,505,
5050003,505,
5050004,505,
5050005,505,
5050006,505,
5050007,505,
5050008,505,
5050009,505,
5060001,506,
5060002,506,
5060003,506,
5070101,507,
5070102,507,
5070201,507,
5070202,507,
5070203,507,
5070204,507,
5080001,508,
5080002,508,
5080003,508,
5090101,509,
5090102,509,
5090103,509,
5090104,509,
5090201,509,
5090202,509,
5090203,509,
5100101,510,
5100102,510,
5100201,510,
5100202,510,
5100203,510,
5100204,510,
5100205,510,
5110001,511,
5110002,511,
5110003,511,
5110004,511,
5110005,511,
5110006,511,
5120101,512,
5120102,512,
5120103,512,
5120104,512,
5120105,512,
5120106,512,
5120107,512,
5120108,512,
5120109,512,
5120110,512,
5120111,512,
5120112,512,
5120113,512,
5120114,512,
5120115,512,
5120201,512,
5120202,512,
5120203,512,
5120204,512,
5120205,512,
5120206,512,
5120207,512,
5120208,512,
5120209,512,
5130101,513,
5130102,513,
5130103,513,
5130104,513,
5130105,513,
5130106,513,
5130107,513,
5130108,513,
5130201,513,
5130202,513,
5130203,513,
5130204,513,
5130205,513,
5130206,513,
5140101,514,
5140102,514,
5140103,514,
5140104,514,
5140201,514,
5140202,514,
5140203,514,
5140204,514,
5140205,514,
5140206,514,
6010101,601,
6010102,601,
6010103,601,
6010104,601,
6010105,601,
6010106,601,
6010107,601,
6010108,601,
6010201,601,
6010202,601,
6010203,601,
6010204,601,
6010205,601,
6010206,601,
6010207,601,
6010208,601,
6020001,602,
6020002,602,
6020003,602,
6020004,602,
6030001,603,
6030002,603,
6030003,603,
6030004,603,
6030005,603,
6030006,603,
6040001,604,
6040002,604,
6040003,604,
6040004,604,
6040005,604,
6040006,604,
7010101,701,
7010102,701,
7010103,701,
7010104,701,
7010105,701,
7010106,701,
7010107,701,
7010108,701,
7010201,701,
7010202,701,
7010203,701,
7010204,701,
7010205,701,
7010206,701,
7010207,701,
7020001,702,
7020002,702,
7020003,702,
7020004,702,
7020005,702,
7020006,702,
7020007,702,
7020008,702,
7020009,702,
7020010,702,
