HUC8,BCG
1010002,3
1010003,4
1010004,3
1010005,2
1010006,4
1010007,4
1010008,2
1010009,6
1010010,4
1010011,4
1020001,4
1020002,3
1020003,6
1020004,4
1020005,5
1030001,3
1030002,5
1030003,4
1040001,6
1040002,4
1050001,3
1050002,6
1050003,4
1050004,4
1060001,4
1060002,4
1060003,4
1070001,4
1070002,4
1070003,4
1070004,4
1070005,5
1070006,6
1080101,4
1080102,3
1080103,4
1080104,4
1080105,3
1080106,4
1080107,4
1080201,5
1080202,5
1080203,4
1080204,4
1080205,4
1080206,3
1080207,4
1090001,4
1090002,5
1090003,5
1090004,5
1090005,4
1100001,4
1100002,3
1100003,4
1100004,4
1100005,4
1100006,4
2020001,2
2020002,2
2020003,3
2020004,3
2020005,3
2020006,3
2020007,3
2020008,3
2030101,3
2030102,4
2030103,4
2030104,4
2030105,4
2030201,4
2030202,4
2030203,4
2040101,2
2040102,2
2040103,6
2040104,3
2040105,5
2040106,4
2040201,4
2040202,6
2040203,4
2040204,4
2040205,5
2040206,4
2040207,5
2040301,4
2040302,4
2040303,6
2040304,4
2050101,3
2050102,3
2050103,3
2050104,3
2050105,4
2050106,3
2050107,4
2050201,4
2050202,3
2050203,3
2050204,4
2050205,3
2050206,3
2050301,3
2050302,4
2050303,4
2050304,3
2050305,4
2050306,4
2060001,4
2060002,4
2060003,5
2060004,4
2060005,4
2060006,4
2070001,3
2070002,3
2070003,3
2070004,4
2070005,4
2070006,4
2070007,4
2070008,5
2070009,5
2070010,5
2070011,3
2080101,4
2080102,4
2080103,4
2080104,3
2080105,4
2080106,4
2080107,4
2080108,4
2080109,4
2080110,5
2080111,4
2080201,3
2080202,3
2080203,3
2080204,4
2080205,5
2080206,4
2080207,4
2080208,4
3010101,3
3010102,4
3010103,3
3010104,4
3010105,4
3010106,4
3010107,6
3010201,3
3010202,4
3010203,5
3010204,4
3010205,5
3020101,3
3020102,4
3020103,4
3020104,4
3020105,4
3020201,4
3020202,4
3020203,4
3020204,4
3020301,4
3020302,4
3030002,4
3030003,4
3030004,3
3030005,5
3030006,3
3030007,4
3040101,3
3040102,3
3040103,4
3040104,3
3040105,4
3040201,3
3040202,6
3040203,3
3040204,3
3040205,5
3040206,4
3040207,3
3040208,2
3050101,3
3050102,3
3050103,5
3050104,4
3050105,3
3050106,6
3050107,5
3050108,5
3050109,5
3050110,5
3050111,5
3050112,6
3050201,4
3050202,5
3050203,5
3050204,3
3050205,5
3050206,5
3050207,5
3050208,5
3050209,5
3050210,5
3060101,3
3060102,3
3060103,5
3060104,4
3060105,5
3060106,4
3060107,4
3060108,4
3060109,4
3060110,5
3060201,4
3060202,4
3060203,5
3060204,4
3070101,4
3070102,5
3070103,5
3070104,4
3070105,6
3070106,5
3070107,5
3070201,5
3070202,5
3070203,5
3070204,3
3070205,4
3080101,4
3080102,3
3080103,3
3080201,3
3080202,3
3080203,6
3090101,4
3090102,4
3090103,4
3090201,4
3090202,4
3090203,4
3090204,4
3090205,4
3090206,4
3100101,4
3100102,4
3100103,4
3100201,5
3100202,4
3100203,3
3100204,3
3100205,3
3100206,4
3100207,4
3100208,4
3110101,2
3110102,3
3110103,3
3110201,3
3110202,3
3110203,3
3110204,3
3110205,3
3110206,3
3120001,3
