HUC8,HUC4,Region,triplet1,triplet2,triplet3,triplet1last,triplet2last,triplet3last,BCG,BCG1,BCG2,BCG3,HUC8scenario,tripletscenario,HUC4scenario,HUC8area,HUC4area,tripletarea,HUC8states,triplestates,HUC4states
3020103,302,SE,3020103,3020101,3020102,0103,0101,0102,4,4,3,4,2,3,3,960.3,14280,3159.1,North Carolina,North Carolina,North Carolina
3020102,302,SE,3020102,3020101,3020103,0102,0101,0103,4,4,3,4,2,3,3,894,14280,3159.1,North Carolina,North Carolina,North Carolina
3020101,302,SE,3020101,3020103,3020102,0101,0103,0102,3,3,4,4,1,3,3,1304.8,14280,3159.1,North Carolina,North Carolina,North Carolina
3020104,302,SE,3020104,3020103,3020101,0104,0103,0101,4,4,4,3,2,3,3,1306.7,14280,3571.8,North Carolina,North Carolina,North Carolina
3020105,302,SE,3020105,3020104,3020103,0105,0104,0103,4,4,4,4,2,2,3,1951.8,14280,4218.8,North Carolina,North Carolina,North Carolina
3020202,302,SE,3020202,3020203,3020201,0202,0203,0201,4,4,4,4,2,2,3,1065.2,14280,4479.9,North Carolina,North Carolina,North Carolina
3020201,302,SE,3020201,3020203,3020202,0201,0203,0202,4,4,4,4,2,2,3,2406.1,14280,4479.9,North Carolina,North Carolina,North Carolina
3020203,302,SE,3020203,3020202,3020201,0203,0202,0201,4,4,4,4,2,2,3,1008.6,14280,4479.9,North Carolina,North Carolina,North Carolina
3020204,302,SE,3020204,3020202,3020104,0204,0202,0104,4,4,4,4,2,2,3,1583.2,14280,3955.1,North Carolina,North Carolina,North Carolina
3020301,302,SE,3020301,3020204,3020302,0301,0204,0302,4,4,4,4,2,2,3,933.2,14280,3382.5,North Carolina,North Carolina,North Carolina
3020302,302,SE,3020302,3020301,3020204,0302,0301,0204,4,4,4,4,2,2,3,866.1,14280,3382.5,North Carolina,North Carolina,North Carolina
3030004,303,SE,3030004,3030006,3030003,0004,0006,0003,3,3,3,4,1,3,3,1630,9207.4,4654.1,North Carolina,North Carolina,North Carolina
3030003,303,SE,3030003,3030006,3030004,0003,0006,0004,4,4,3,3,2,3,3,1450.1,9207.4,4654.1,North Carolina,North Carolina,North Carolina
3030005,303,SE,3030005,3030006,3030007,0005,0006,0007,5,5,3,4,3,3,3,1104.3,9207.4,4419.8,North Carolina,North Carolina,North Carolina
3030006,303,SE,3030006,3030007,3030005,0006,0007,0005,3,3,4,5,1,3,3,1574,9207.4,4419.8,North Carolina,North Carolina,North Carolina
3030007,303,SE,3030007,3030005,3030006,0007,0005,0006,4,4,5,3,2,3,3,1741.5,9207.4,4419.8,North Carolina,North Carolina,North Carolina
3040201,304,SE,3040201,3040202,3040204,0201,0202,0204,3,3,6,3,1,3,3,2531.9,18864.1,5312.8,North Carolina and South Carolina,North Carolina and South Carolina,"North Carolina, South Carolina, and Virginia"
3040202,304,SE,3040202,3040201,3040205,0202,0201,0205,6,6,3,5,3,3,3,1413.2,18864.1,6005.7,North Carolina and South Carolina,North Carolina and South Carolina,"North Carolina, South Carolina, and Virginia"
3040203,304,SE,3040203,3040201,3040204,0203,0201,0204,3,3,3,3,1,1,3,1752.8,18864.1,5652.4,North Carolina and South Carolina,North Carolina and South Carolina,"North Carolina, South Carolina, and Virginia"
3040204,304,SE,3040204,3040206,3040203,0204,0206,0203,3,3,4,3,1,3,3,1367.7,18864.1,4771.9,North Carolina and South Carolina,North Carolina and South Carolina,"North Carolina, South Carolina, and Virginia"
3040205,304,SE,3040205,3040202,3040201,0205,0202,0201,5,5,6,3,3,3,3,2060.6,18864.1,6005.7,South Carolina,North Carolina and South Carolina,"North Carolina, South Carolina, and Virginia"
3040206,304,SE,3040206,3040203,3040204,0206,0203,0204,4,4,3,3,2,3,3,1651.4,18864.1,4771.9,North Carolina and South Carolina,North Carolina and South Carolina,"North Carolina, South Carolina, and Virginia"
3040208,304,SE,3040208,3040206,3040204,0208,0206,0204,2,2,4,3,1,3,3,676.4,18864.1,3695.5,North Carolina and South Carolina,North Carolina and South Carolina,"North Carolina, South Carolina, and Virginia"
3060106,306,SE,3060106,3060105,3060107,0106,0105,0107,4,4,5,4,2,3,3,1834.3,16913.7,3342.5,Georgia and South Carolina,Georgia and South Carolina,"Georgia, North Carolina, and South Carolina"
3060107,306,SE,3060107,3060105,3060106,0107,0105,0106,4,4,5,4,2,3,3,740.1,16913.7,3342.5,South Carolina,Georgia and South Carolina,"Georgia, North Carolina, and South Carolina"
3060105,306,SE,3060105,3060106,3060107,0105,0106,0107,5,5,4,4,3,3,3,768.1,16913.7,3342.5,Georgia,Georgia and South Carolina,"Georgia, North Carolina, and South Carolina"
3060108,306,SE,3060108,3060106,3060109,0108,0106,0109,4,4,4,4,2,2,3,848.8,16913.7,3688.5,Georgia,Georgia and South Carolina,"Georgia, North Carolina, and South Carolina"
3060109,306,SE,3060109,3060110,3060204,0109,0110,0204,4,4,5,4,2,3,3,1005.4,16913.7,2952.4,Georgia and South Carolina,Georgia and South Carolina,"Georgia, North Carolina, and South Carolina"
3060110,306,SE,3060110,3060109,3060204,0110,0109,0204,5,5,4,4,3,3,3,418,16913.7,2952.4,Georgia and South Carolina,Georgia and South Carolina,"Georgia, North Carolina, and South Carolina"
3060201,306,SE,3060201,3060202,3060203,0201,0202,0203,4,4,4,5,2,3,3,1835.9,16913.7,4409.8,Georgia,Georgia,"Georgia, North Carolina, and South Carolina"
3060202,306,SE,3060202,3060203,3060204,0202,0203,0204,4,4,5,4,2,3,3,1186.1,16913.7,4102.9,Georgia,Georgia,"Georgia, North Carolina, and South Carolina"
3060203,306,SE,3060203,3060202,3060204,0203,0202,0204,5,5,4,4,3,3,3,1387.8,16913.7,4102.9,Georgia,Georgia,"Georgia, North Carolina, and South Carolina"
3060204,306,SE,3060204,3060203,3060202,0204,0203,0202,4,4,5,4,2,3,3,1529,16913.7,4102.9,Georgia,Georgia,"Georgia, North Carolina, and South Carolina"
3070102,307,SE,3070102,3070101,3070103,0102,0101,0103,5,5,4,5,3,3,3,2410.7,20861.8,8299,Georgia,Georgia,Florida and Georgia
3070103,307,SE,3070103,3070101,3070102,0103,0101,0102,5,5,4,5,3,3,3,2973.2,20861.8,8299,Georgia,Georgia,Florida and Georgia
3070101,307,SE,3070101,3070102,3070103,0101,0102,0103,4,4,5,5,2,3,3,2915.1,20861.8,8299,Georgia,Georgia,Florida and Georgia
3070104,307,SE,3070104,3070102,3070105,0104,0102,0105,4,4,5,6,2,3,3,2325,20861.8,5539.8,Georgia,Georgia,Florida and Georgia
3070105,307,SE,3070105,3070104,3070102,0105,0104,0102,6,6,4,5,3,3,3,804.1,20861.8,5539.8,Georgia,Georgia,Florida and Georgia
3070106,307,SE,3070106,3070107,3070202,0106,0107,0202,5,5,5,5,3,3,3,1663.3,20861.8,3804.4,Georgia,Georgia,Florida and Georgia
3070107,307,SE,3070107,3070102,3070106,0107,0102,0106,5,5,5,5,3,3,3,1345.2,20861.8,5419.2,Georgia,Georgia,Florida and Georgia
3070201,307,SE,3070201,3070202,3070203,0201,0202,0203,5,5,5,5,3,3,3,2583.4,20861.8,4333.1,Georgia,Florida and Georgia,Florida and Georgia
3070202,307,SE,3070202,3070201,3070203,0202,0201,0203,5,5,5,5,3,3,3,795.9,20861.8,4333.1,Georgia,Florida and Georgia,Florida and Georgia
3070203,307,SE,3070203,3070204,3070205,0203,0204,0205,5,5,3,4,3,3,3,953.8,20861.8,3045.9,Florida and Georgia,Florida and Georgia,Florida and Georgia
3070205,307,SE,3070205,3070204,3070203,0205,0204,0203,4,4,3,5,2,3,3,508.7,20861.8,3045.9,Florida and Georgia,Florida and Georgia,Florida and Georgia
3070204,307,SE,3070204,3070203,3070205,0204,0203,0205,3,3,5,4,1,3,3,1583.4,20861.8,3045.9,Florida and Georgia,Florida and Georgia,Florida and Georgia
3080101,308,SE,3080101,3080102,3080103,0101,0102,0103,4,4,3,3,2,3,3,3949.2,12185.3,9567.6,Florida,Florida,Florida
3080102,308,SE,3080102,3080101,3080103,0102,0101,0103,3,3,4,3,1,3,3,2781.7,12185.3,9567.6,Florida,Florida,Florida
3080103,308,SE,3080103,3080201,3080102,0103,0201,0102,3,3,3,3,1,1,3,2836.7,12185.3,6601.5,Florida,Florida,Florida
3080201,308,SE,3080201,3080103,3080101,0201,0103,0101,3,3,3,4,1,3,3,983.1,12185.3,7769,Florida,Florida,Florida
3080202,308,SE,3080202,3080101,3080203,0202,0101,0203,3,3,4,6,1,3,3,1050.7,12185.3,5583.8,Florida,Florida,Florida
3080203,308,SE,3080203,3080202,3080101,0203,0202,0101,6,6,3,4,3,3,3,583.9,12185.3,5583.8,Florida,Florida,Florida
3100101,310,SE,3100101,3100102,3100103,0101,0102,0103,4,4,4,4,2,2,3,2328.1,10642,3694,Florida,Florida,Florida
3100102,310,SE,3100102,3100103,3100101,0102,0103,0101,4,4,4,4,2,2,3,601.5,10642,3694,Florida,Florida,Florida
3100103,310,SE,3100103,3100102,3100101,0103,0102,0101,4,4,4,4,2,2,3,764.4,10642,3694,Florida,Florida,Florida
3100201,310,SE,3100201,3100202,3100203,0201,0202,0203,5,5,4,3,3,3,3,603,10642,1194.1,Florida,Florida,Florida
3100202,310,SE,3100202,3100203,3100204,0202,0203,0204,4,4,3,3,2,3,3,364.5,10642,1012.7,Florida,Florida,Florida
3100203,310,SE,3100203,3100202,3100204,0203,0202,0204,3,3,4,3,1,3,3,226.6,10642,1012.7,Florida,Florida,Florida
3100204,310,SE,3100204,3100205,3100206,0204,0205,0206,3,3,3,4,1,3,3,421.6,10642,2004.8,Florida,Florida,Florida
3100205,310,SE,3100205,3100206,3100207,0205,0206,0207,3,3,4,4,1,3,3,656.1,10642,3251.7,Florida,Florida,Florida
3100206,310,SE,3100206,3100205,3100204,0206,0205,0204,4,4,3,3,2,3,3,927.1,10642,2004.8,Florida,Florida,Florida
