lake,state
Liwa Lake,Alaska
Monterey Lake,Alaska
Bear Paw Lake,Alaska
Birch Lake,Alaska
Bruns Lake,Alaska
Dusk Lake,Alaska
Fuller Lake,Alaska
Johnson Pond,Alaska
Lazy Lake,Alaska
Maruro Lake,Alaska
Whale Lake,Alaska
Woody Lake,Alaska
Lake Nunavaugaluk,Alaska
Veh-Tenjerlow Lakes,Alaska
Vehtenjerlo Lakes,Alaska
Vunle Lakes,Alaska
Abraham Lake,Alaska
Abraham Lake,Alaska
Ace Lake,Alaska
Ackerman Lake,Alaska
Adam Lake,Alaska
Afognak Lake,Alaska
Aghnaghak Lagoon,Alaska
Agiak Lagoon,Alaska
Agiak Lake,Alaska
Agnes Lake,Alaska
Ahagateyeit Lake,Alaska
Ahaliorak Lake,Alaska
Ahkiwiksnuk Lake,Alaska
Aho Lake,Alaska
Aiautak Lagoon,Alaska
Akaluovik Lakes,Alaska
Akalura Lake,Alaska
Akoviknak Lagoon,Alaska
Akuliak Lake,Alaska
Albert Lake,Alaska
Albert Lake,Alaska
Alder Lake,Alaska
Alder Lakes,Alaska
Lake Aleknagik,Alaska
Alexander Lake,Alaska
Alexcy Lake,Alaska
All Hand Help Lake,Alaska
Allman Lake,Alaska
Alma Lakes,Alaska
Amanka Lake,Alaska
Amber Lake,Alaska
Ambresvajun Lake,Alaska
Amiloyak Lake,Alaska
Amos Lakes,Alaska
Andrew Lake,Alaska
Aniak Lake,Alaska
Aniralik Lake,Alaska
Anivik Lake,Alaska
Annie Lake,Alaska
Applevun Lake,Alaska
Argo Bill Lake,Alaska
Arhymot Lake,Alaska
Arolik Lake,Alaska
Aropuk Lake,Alaska
Arthur Dall Lake,Alaska
Atosik Lagoon,Alaska
Atuk Lake,Alaska
Auke Lake,Alaska
Lake Aurel,Alaska
Awayak Lake,Alaska
Ayugatak Lagoon,Alaska
Baird Lake,Alaska
Baker Lake,Alaska
Baldy Lake,Alaska
Ballaine Lake,Alaska
Lake Barbara,Alaska
Barkley Lake,Alaska
Barren Lake,Alaska
Barry Lagoon,Alaska
Bart Lake,Alaska
Basalt Lake,Alaska
Battery Lake,Alaska
Battle Lake,Alaska
Batztoa Lake,Alaska
Baultoff Lakes,Alaska
Beach Lake,Alaska
Bean Lake,Alaska
Bear Island Lake,Alaska
Bear Lake,Alaska
Bear Lake,Alaska
Black Bear Lake,Alaska
Bear Lake,Alaska
Bear Lake,Alaska
Bear Mountain Lake,Alaska
Bearman Lake,Alaska
Beaver Dam Lake,Alaska
Beaver Lake,Alaska
Beaver Lake,Alaska
Beaver Lake,Alaska
Beaver Lake,Alaska
Beaver Lake,Alaska
Beaver Lake,Alaska
Beaver Lake,Alaska
Beaver Lake,Alaska
Beaver Lake,Alaska
Beaver Tail Lake,Alaska
Beaverdam Lake,Alaska
Beaverhouse Lake,Alaska
Beaverlog Lakes,Alaska
Becharof Lake,Alaska
Lake Beebe,Alaska
Bell Lake,Alaska
Belle Lake,Alaska
Bellen Lakes,Alaska
Below Tree Lake,Alaska
Bench Lake,Alaska
Bench Lake,Alaska
Benka Lake,Alaska
Berg Lakes,Alaska
Bergh Lake (historical),Alaska
Berry Lake,Alaska
Beszivit Lake,Alaska
Lake Beth,Alaska
Lake Betty,Alaska
Lake Beverley,Alaska
Big Beaver Lake,Alaska
Big Bend Lakes,Alaska
Big Duck Lake,Alaska
Big Fish Lake,Alaska
Big Grass Lake,Alaska
Big Grayling Lake,Alaska
Big John Lake,Alaska
Big Kitoi Lake,Alaska
Lilly Lake,Alaska
Big Lake,Alaska
Big Lake,Alaska
Big Lake,Alaska
Big Lake,Alaska
Big Lake,Alaska
Big Lake,Alaska
Big Lake,Alaska
Big Lake,Alaska
Big Lake,Alaska
Big Lake,Alaska
Lowland Kacaagh Lake,Alaska
Big Lake,Alaska
Bob Johnson Lake,Alaska
Big Lily Lake,Alaska
Big Long Lake,Alaska
Big Meadow,Alaska
Big Ram Lake,Alaska
Big Rat Lake,Alaska
Big Rat Lake,Alaska
Billberg Lake,Alaska
Billy Lake,Alaska
Billy Lake,Alaska
Birch Hill Lake,Alaska
Birch Lake,Alaska
Birch Lake,Alaska
Birch Lake,Alaska
Birch Lake,Alaska
Birch Lake,Alaska
Birch Lake,Alaska
Birch Lakes,Alaska
Black Currant Lake,Alaska
Black Lake,Alaska
Black Lake,Alaska
Black Lake,Alaska
Black Lake,Alaska
Black Lake,Alaska
Black Lake,Alaska
Blackfish Lake,Alaska
Blackfish Lake,Alaska
Blair Lake,Alaska
Blair Lakes,Alaska
Blanket Lake,Alaska
Blodgett Lake,Alaska
Blue Lake,Alaska
Blue Lake,Alaska
Blueberry Lake,Alaska
Bob Lake,Alaska
Bobs Lake,Alaska
Bog Lake,Alaska
Bolio Lake,Alaska
Bonnie Lake,Alaska
Boomerang Lake,Alaska
Boot Lake,Alaska
Boulder Lake,Alaska
Bow Lake,Alaska
Bradley Lake,Alaska
Braye Lakes,Alaska
Bridge Lake,Alaska
Lake Brooks,Alaska
Brown Grass Lake,Alaska
Brown Lake,Alaska
Bubbling Lake,Alaska
Bucket Lake,Alaska
Bug Lake,Alaska
Bulchitna Lake,Alaska
Bullrush Lake,Alaska
Bunco Lake,Alaska
Burial Lake,Alaska
Burman Lake,Alaska
Burnt Lake,Alaska
Burnt Lake,Alaska
Buskin Lake,Alaska
Butch Lake,Alaska
Butte Lake,Alaska
East Butterfly Lake,Alaska
Buzodoc Slough,Alaska
Byers Lake,Alaska
Cabin Lake,Alaska
Cabin Slough,Alaska
Cache Lake,Alaska
Cache Lake,Alaska
Cache Lake,Alaska
Cache One Lake,Alaska
Camel Lake,Alaska
Canoe Lake,Alaska
Canvasback Lake,Alaska
Canyon Lake,Alaska
Canyon Lake,Alaska
Canyon Lake,Alaska
Canyon Lake,Alaska
Carbon Lake,Alaska
Carden Lake,Alaska
Carey Lake,Alaska
Caribou Lake,Alaska
Caribou Lake,Alaska
Caribou Lake,Alaska
Caribou Lake,Alaska
Carls Cache Lake,Alaska
Carlson Lake,Alaska
Carlson Lake,Alaska
Carlson Lake,Alaska
Lake Caroline,Alaska
Cascade Lake,Alaska
Cascade Lake,Alaska
Castle Rocks Lake,Alaska
Caswell Lake,Alaska
Cat Lake,Alaska
