lake,state
A W Dale Lake,Alabama
Abel Lake,Alabama
Abramson Lake,Alabama
Acherman Pond,Alabama
Adams Lake,Alabama
Adams Millpond,Alabama
Adams Pond,Alabama
Aderholds Lake,Alabama
Alcock Pond,Alabama
Allens Lake,Alabama
Alligator Lake,Alabama
Allison Derby Lake,Alabama
Allison Lake,Alabama
Altadena Lake,Alabama
American Can Company Lake,Alabama
Ammons Pond,Alabama
Annie T Gregory Lake,Alabama
Arrington Lake Number 1,Alabama
Arrington Lakes,Alabama
Asbury Park Lake,Alabama
Atchisons Lake,Alabama
Auburn Outing Club Lake,Alabama
B C Rhyne Lake,Alabama
B G Powell Lake,Alabama
B Mountain Lake,Alabama
Babes Pond,Alabama
Baggett Lake,Alabama
Baggett Pond,Alabama
Baggetts Lake,Alabama
Bagwell Lake,Alabama
Bahlman Lake,Alabama
Bailey Lake,Alabama
Baker Lake,Alabama
Baldwins Lake,Alabama
Banks Lake,Alabama
Baptist Camp Lake,Alabama
Baptist Lake,Alabama
Barbarees Pond,Alabama
Barfield Lake,Alabama
Barfield Ponds,Alabama
Barkers Pond,Alabama
Barksdale Lake,Alabama
Barnett Lake,Alabama
Barns Lake,Alabama
Barns Pond,Alabama
Bartletts Ferry Lake,Alabama
Barton Lake,Alabama
Baswell Lake,Alabama
Bates Lake,Alabama
Batson Lake,Alabama
Baylor Lake,Alabama
Bayview Lake,Alabama
Bear Bay,Alabama
Bear Creek Reservoir,Alabama
Bear Lake,Alabama
Beaver Lake,Alabama
Beaver Pond,Alabama
Bedsole Lake,Alabama
Beecham Lake,Alabama
Belcher Lake,Alabama
Bell Lake,Alabama
Bennetts Lake,Alabama
Bentley Lake,Alabama
Berry Lake,Alabama
Bertolli Lake,Alabama
Berts Lake,Alabama
Best Pond,Alabama
Bickerstaffs Pond,Alabama
Big B Ranch Lake,Alabama
Big Chippewa Lake,Alabama
Big Creek Lake,Alabama
Big Duck Roost,Alabama
Big Hill Pond,Alabama
Big Lake,Alabama
Big Pond,Alabama
Birmingham Reservoir,Alabama
Blackmons Pond,Alabama
Blacks Lake,Alabama
Blackwell Lake Number Two,Alabama
Blakey Pond,Alabama
Blankenship Pond,Alabama
Blue Creek Mine Number 3 - Impoundment,Alabama
Blue Hole,Alabama
Blue Lake,Alabama
Blue Pond,Alabama
Blue Spring Lake,Alabama
Boatyard Lake,Alabama
Bobby Jones Lake,Alabama
Bon Aire Lake,Alabama
Bone Lake,Alabama
Bonita Farms Lake,Alabama
Bonner Lake,Alabama
Bonners Lake,Alabama
Boozer Lake,Alabama
Boozers Lake,Alabama
Borders Lake,Alabama
Boroughs Pond,Alabama
Boucher Lake,Alabama
Bowden Lake,Alabama
Bowers Lake,Alabama
Boyd Lake,Alabama
Boyden Lake,Alabama
Boykin Lake,Alabama
Boyles Gap Lake,Alabama
Bradley Lake,Alabama
Brady Lake,Alabama
Brantley Lake,Alabama
Brantley Pond,Alabama
Brantwood Pond,Alabama
Brickyard Lake,Alabama
Bridge Creek Lake,Alabama
Brimwood Lakes,Alabama
Brooks Lake,Alabama
Brooks Lake Number Two,Alabama
Broughton Lake,Alabama
Browning Pond,Alabama
Browns Lake,Alabama
Browns Pond,Alabama
Bruce Pond Number Three,Alabama
Bruce Pond Number Two,Alabama
Bruners Pond,Alabama
Brush Pond,Alabama
Brushy Creek Lake,Alabama
Bryant Pond,Alabama
Bryars Junior Lake,Alabama
Bryars Junior Lakes,Alabama
Bryce Hospital Lake,Alabama
Buchannon Lake,Alabama
Bugs Lake,Alabama
Bunny Lake,Alabama
Burch Lake,Alabama
Burgess Pond,Alabama
Burgess Spring Lakes,Alabama
Burke Ponds,Alabama
Burney Pond,Alabama
Burns Lakes,Alabama
Busseys Lake,Alabama
"Byram, Lake",Alabama
C A Caines Lake,Alabama
C C W Dam Number 6 Lake,Alabama
C E Boyd Lake,Alabama
C E Sellers Lake,Alabama
Caddell Lake,Alabama
Cahaba Girl Scout Council Lake,Alabama
Cahaba Lake,Alabama
Cain Lake Number 1,Alabama
Cain Lake Number 3,Alabama
Cains Ridge Lake,Alabama
Caldwell Lake,Alabama
Calhoun Pond,Alabama
Camden Sewage Lagoon,Alabama
Camp Adahi Lake,Alabama
Camp Mac Lake Number 2,Alabama
Camp Sequoyah Lake,Alabama
Camp Tukabatchee Lake,Alabama
Camp Tuscoba Lake,Alabama
Campbells Lake,Alabama
Camps Lake,Alabama
Canoe Creek Lake,Alabama
Canoe Lake,Alabama
Canyon Lake Lower,Alabama
Capps Pond,Alabama
Carey Tidmore Lake,Alabama
Carmichael Lake,Alabama
Carolwood Lake,Alabama
Carpenters Lake,Alabama
Carrol Lake,Alabama
Carrols Lake,Alabama
Carter Lake,Alabama
Carters Pond,Alabama
Carver Lake,Alabama
Catfish Lake,Alabama
Caudles Lake,Alabama
Cauthen Lake Number Two,Alabama
Cauthen Pond,Alabama
Cedar Creek Reservoir,Alabama
Cedar Lake,Alabama
Center Hill Lake,Alabama
Center Point Lake,Alabama
Chambers County State Lake,Alabama
Chandler Mountain Lake,Alabama
Charob Lake,Alabama
Chateau Charolais Lake,Alabama
Chatfields Pond,Alabama
Cheaha Lake,Alabama
Chelsea Game Preserve Lake,Alabama
Cherokee Beach Lake,Alabama
Chetopa Mine - Impoundment Number 2,Alabama
Choccolocco Lake,Alabama
Choccolocco Number 11 Lake,Alabama
Choctaw Lake,Alabama
"Choctawhatchee, Lake",Alabama
Choppers Lake,Alabama
Church Lake,Alabama
Ciba Geigy McIntosh Plant Pond 1,Alabama
Ciba Geigy McIntosh Plant Pond 2,Alabama
Circle A Ranch Lake,Alabama
Circle Three Lakes,Alabama
Citronelle Lake,Alabama
City Lake,Alabama
City of Birmingham - Roebuck Plaza Lake,Alabama
City of Butler Sewage Lagoon,Alabama
Clark Pond,Alabama
Clarks Lake,Alabama
Clay County Lake,Alabama
Clayton Lake,Alabama
Clegg And Pearson Lake,Alabama
Cleitts Lake,Alabama
Coaker Pond,Alabama
Cobb Lake,Alabama
Cobbs Lake,Alabama
Cochrans Lake,Alabama
Cofield Lake,Alabama
Coker Bend Lake,Alabama
Coldwater Pond,Alabama
Cole Lake,Alabama
Coleman Farm Ponds,Alabama
Coleman Lake,Alabama
Coleman Lakes,Alabama
Coleman Pond,Alabama
Coleys Lake,Alabama
College Lake,Alabama
Colley Lake,Alabama
Collins Lake,Alabama
Concord Lake,Alabama
Concord Mine Lake,Alabama
Cone Reservoir,Alabama
Conners Lake,Alabama
Constantines Pond,Alabama
Container Corporation Treatment P,Alabama
Cooleys Pond,Alabama
Coopers Lake,Alabama
Coopers Pond,Alabama
Copelands Pond,Alabama
Corbetts Lake,Alabama
Cottonwood Pond,Alabama
Cottrell Lake,Alabama
County Lake,Alabama
Cravey Ponds,Alabama
Craw Pond,Alabama
Crenshaw County Public Lake,Alabama
Crenshaw Pond,Alabama
Crenshaw Ponds,Alabama
Crenshaws Pond,Alabama
Crenshaws Pond Number Two,Alabama
Crescent Lake,Alabama
Crim Lake,Alabama
Crowes Pond,Alabama
Crutch Pond,Alabama
Crystal Lake,Alabama
Culp Lake,Alabama
Cunningham Lake,Alabama
Cunningham Pond,Alabama
Cypress Cutoff Lake,Alabama
Cypress Pond,Alabama
Cypress Swamp,Alabama
D R Stallworth Pond,Alabama
