NAME,lake,st2,lat,lon,area
North Slope,Sinclair Lake,AK,71.0002757273138,-154.790212906641,38.0675843437324
Northwest Arctic,Sullivan Lake,AK,66.0547675354511,-163.144301778555,0.469285724730221
Northwest Arctic,Tugak Lagoon,AK,67.8960911693848,-164.98223288266,0.229188642254961
Northwest Arctic,Pusigrak Lagoon,AK,68.0158540187864,-165.296772256619,0.811991125555914
North Slope,Mapsorak Lagoon,AK,68.0355944850794,-165.368166044243,0.877841163565554
Northwest Arctic,Imikruk Lagoon,AK,67.680220982299,-164.311359134359,20.4869349563224
Northwest Arctic,Seppings Lagoon,AK,67.9589365221497,-165.165150900727,0.412740820696876
Northwest Arctic,Tasikpak Lagoon,AK,67.9433702728397,-165.103436349137,3.28522005850307
Northwest Arctic,Singoalik Lagoon,AK,67.9915943043248,-165.228766561475,1.62343138646659
North Slope,Ayugatak Lagoon,AK,68.8498990291105,-165.679030651918,4.45373558147933
Northwest Arctic,Kavrorak Lagoon,AK,67.8700775898023,-164.901180344205,0.886975655026315
Northwest Arctic,Kotlik Lagoon,AK,67.3918435089735,-163.818919820298,17.0049273786392
North Slope,Kemegrak Lagoon,AK,68.230600678189,-166.08489933259,3.73452482456781
Aleutians West,Taachim Anii,AK,53.9847067585904,-166.727026319725,3.93787620667431
Anchorage,Little Campbell Lake,AK,61.1613681137626,-150.024290408308,0.0382241242773668
Anchorage,Lake Spenard,AK,61.1781768514465,-149.950130193981,0.317487600847557
Anchorage,Meadow Lake,AK,61.1664131915383,-149.957634217575,0.014845193199063
Anchorage,Conners Lake,AK,61.1662970971734,-149.934511197225,0.111744301829592
Anchorage,Otter Lake,AK,61.289790862564,-149.736322429255,0.479198899349437
Anchorage,Jones Lake,AK,61.1916095689124,-149.967754177659,0.0125705859141824
Anchorage,Taku Lake,AK,61.1501048588154,-149.881955869708,0.0465817270269676
Anchorage,Lake Tiulana,AK,61.2335820862072,-149.71538294308,0.00567505061984071
Anchorage,Gwenn Lake,AK,61.297859521787,-149.67788357833,0.0414104029999292
Fairbanks North Star,Float Pond,AK,64.8222244796145,-147.841254174951,0.519757212996281
Anchorage,Rabbit Lake,AK,61.0410041239781,-149.579274339368,0.308514999978912
Juneau,Dredge Lake,AK,58.402027421713,-134.562367376107,0.0252657875954412
Juneau,Moose Lake,AK,58.4052172639816,-134.571562386312,0.0407606781729019
Juneau,Crystal Lake,AK,58.4048833584339,-134.561727528477,0.0195272052336363
Juneau,Glacier Lake,AK,58.4084886197382,-134.558171697077,0.0369509676215746
Juneau,Moraine Lake,AK,58.4089111800004,-134.562159514365,0.0229102640051652
Juneau,Norton Lake,AK,58.4105386283953,-134.570627010705,0.0243095325497943
Juneau,Twin Lakes,AK,58.3366504286077,-134.483766481739,0.287501977730044
Juneau,Peterson Lake,AK,58.4385117808036,-134.734118244166,0.226825851077081
Juneau,King Fisher Pond,AK,58.3543721855489,-134.510182105799,0.03670046423803
Juneau,Salmon Creek Reservoir,AK,58.3423886294624,-134.391443591845,0.646751387398598
Anchorage,Blueberry Lake,AK,61.1618824483279,-149.911630731283,0.0144285972493484
Anchorage,Lake Tina,AK,61.1664029475737,-149.891839760866,0.00987450190317348
Anchorage,Eklutna Lake,AK,61.3759422223256,-149.051616694784,13.2246085482107
Anchorage,Inner Lake George,AK,61.2832143908561,-148.534512958999,26.9057078479994
Copper River,Klutina Lake,AK,61.6936518870856,-145.933796563261,67.7193014406036
Copper River,Saint Anne Lake,AK,61.8866141518395,-146.040069724906,7.22830339588122
Copper River,High Lake,AK,61.8555693945377,-146.30163733251,0.930117838275502
Copper River,Kaina Lake,AK,61.8376326207086,-146.200061270686,2.07386732513652
North Slope,Lake Coleen,AK,70.2131683385268,-148.462194825123,2.61673856083387
Anchorage,Cheney Lake,AK,61.2023696833134,-149.760249997012,0.100749004123773
Fairbanks North Star,Smith Lake,AK,64.8654928791482,-147.866691477146,0.109580937776246
Fairbanks North Star,Ballaine Lake,AK,64.8690880024658,-147.825695025073,0.0106105683883699
Matanuska-Susitna,Lake Lucille,AK,61.5750291827893,-149.474960282232,1.51191272927377
Fairbanks North Star,Beaver Lake,AK,64.7551795921456,-147.335063439626,0.0550567182971697
Fairbanks North Star,Wander Lake,AK,64.8622117826468,-147.704346152418,0.0867214248953586
Anchorage,Hideaway Lake,AK,61.122447993486,-149.743109196683,0.02796536702308
Anchorage,Mountain Lake,AK,61.1179020816896,-149.751976883775,0.0285985245674138
Anchorage,University Lake,AK,61.186390037165,-149.800681535037,0.0884268867673275
Anchorage,Goose Lake,AK,61.1949591869418,-149.820054378621,0.0767397631055919
Anchorage,Hilstrand Pond,AK,61.2000832866733,-149.841021729206,0.0088528170676664
Anchorage,Lake Otis,AK,61.1912424991883,-149.844695613581,0.0417288285994741
Anchorage,Waldron Lake,AK,61.178204866567,-149.850997904951,0.0166596602824827
Anchorage,Grey Lake,AK,61.0613031280447,-149.579843962849,0.0263687012607989
Anchorage,Jewel Lake,AK,61.1396661075462,-149.963172087279,0.110661963530075
Anchorage,Sundi Lake,AK,61.1457670262604,-149.967770552449,0.0396328366425627
Anchorage,Sand Lake,AK,61.1512043790839,-149.965933879576,0.294278825113011
Yukon-Koyukuk,Takahula Lake,AK,67.3527464901727,-153.66441232265,1.75874074570631
Yukon-Koyukuk,Iniakuk Lake,AK,67.1347388401758,-153.226048514589,12.4289174593845
Aleutians West,Cannikin Lake,AK,51.4706960445891,179.110961964127,0.147937093520158
Aleutians West,Fenner Lake,AK,51.9551002626264,179.649119646093,1.42598926915579
Nome,Magaqvig,AK,65.6092142200802,-168.088201698218,0.0274919086906681
Anchorage,Portage Lake,AK,60.7696243208277,-148.807005319793,5.13645335245275
Kodiak Island,Island Lake,AK,57.8179374077385,-152.369489225456,0.128857554619442
Kodiak Island,Dark Lake,AK,57.8125481247102,-152.374408367309,0.0538572402779949
Matanuska-Susitna,Loon Lake,AK,61.6012160664082,-149.751005420696,0.432559367098092
Matanuska-Susitna,Bear Paw Lake,AK,61.6140605405384,-149.757176542856,0.174515418058606
Matanuska-Susitna,Movro Lake,AK,61.6017610330765,-149.784930215032,0.382706868935073
Matanuska-Susitna,Big Beaver Lake,AK,61.5830720598531,-149.830342170979,0.618623801232835
Matanuska-Susitna,West Beaver Lake,AK,61.5853350476977,-149.845854010831,0.427758208985439
Matanuska-Susitna,Loonsong Lake,AK,61.4671628603745,-149.950139887327,0.308698806891739
Matanuska-Susitna,Beavers Reach,AK,61.4814974756516,-150.013881498086,0.0805348183427563
Matanuska-Susitna,Mirror Lake,AK,61.5339687476604,-149.983695681342,0.20604806811365
Matanuska-Susitna,Two Loon Lake,AK,61.5238082869075,-150.090861189144,0.0824631791488026
Matanuska-Susitna,Sara Lake,AK,61.5267969292114,-149.995133868078,0.211680828723658
Matanuska-Susitna,Anna Lake,AK,61.4676616786886,-149.962744124099,0.439706957278691
Matanuska-Susitna,Diamond Lake,AK,61.5009775218684,-150.021407888087,0.6589651687539
Matanuska-Susitna,Susan Lake,AK,61.5216150328407,-150.011804827353,0.174757552403898
Matanuska-Susitna,Cranberry Lake,AK,61.4934899987342,-149.939671536816,0.278223739656839
Matanuska-Susitna,Papoose Twins,AK,61.5380328900681,-150.08417298801,1.44379501542688
Matanuska-Susitna,Crooked Lake,AK,61.5197899174634,-150.048187250065,0.975493014203733
Chugach,Solomon Lake,AK,61.0592344136212,-146.291623282728,1.70527109085874
Kenai Peninsula,Daniels Lake,AK,60.7354370293374,-151.188224661117,2.60366531984273
Kenai Peninsula,Engineer Lake,AK,60.4788388454146,-150.323356176666,0.941308108362117
Kenai Peninsula,Ptarmigan Lake,AK,60.3982962966057,-149.263222580418,2.70109125830204
Kenai Peninsula,Lower Summit Lake,AK,60.6607511029601,-149.478858313063,0.211807749106814
Kenai Peninsula,Vagt Lake,AK,60.4485338229281,-149.349940001022,0.160306280888272
Kenai Peninsula,Grant Lake,AK,60.4799660082573,-149.278853689629,6.59055659462161
Kenai Peninsula,Upper Russian Lake,AK,60.3391844959829,-149.880417228143,4.62062376586906
Kenai Peninsula,Iceberg Lake,AK,60.2159055591992,-150.12682015293,1.02239769423598
Kenai Peninsula,Twin Lakes,AK,60.2782176318851,-150.159811173487,1.04289745595292
Kenai Peninsula,Alpine Lake,AK,60.264054639239,-150.121939919218,0.182709904003563
Petersburg,City Creek Resevoir,AK,56.7850583834086,-132.914936143977,0.0706752112720768
Petersburg,Cabin Creek Resevoir,AK,56.7590643452694,-132.836116956404,0.231961894310587
Petersburg,Crane Lake,AK,56.6580760825859,-132.669044885396,0.264659768883794
Petersburg,Sand Lake,AK,56.6766814841075,-132.690530712642,0.118265931164413
Matanuska-Susitna,Puntilla Lake,AK,62.0878612061317,-152.732636562013,0.40417582664336
Anchorage,Dew Lake,AK,61.2042822358217,-149.24295079688,0.00957919732266348
Anchorage,Birch Lake,AK,61.1452256373085,-149.93717994834,0.0179330151745764
Yakutat,Tanis Lake,AK,59.2932368855358,-138.536707761675,5.94636612396676
Kenai Peninsula,Bridge Creek Reservoir,AK,59.678405697645,-151.543544092241,0.140245741487356
