NAME,lake,st2,lat,lon,area
Southeastern Connecticut,Brocket Pond,CT,41.299082900146,-72.2308960070499,0.0135645223785426
Capitol,Crystal Lake,CT,41.9372200932723,-72.3733862779189,0.808776250176982
Capitol,Twin Lakes South,CT,41.8173214735304,-72.8244003389678,0.0721231411569656
Capitol,The Pond,CT,41.7962409378884,-72.8324786098351,0.0662343681390833
Western Connecticut,Great Mountain Pond,CT,41.5634900636955,-73.4562582329486,0.163296036173577
Capitol,Batterson Park Pond,CT,41.7113955554111,-72.7882845395638,0.617681027817581
Naugatuck Valley,Lake Housatonic,CT,41.3472817688444,-73.1279872262283,1.29950227167181
Capitol,Wethersfield Cove,CT,41.7241761580422,-72.6579765062038,0.33150767877749
Capitol,Village Pond,CT,41.8002588455831,-72.7120239324693,0.00541712272230703
Capitol,Lakeview Lake,CT,41.8030630800332,-72.7720782976399,0.0145576483687842
Capitol,Mead Pond,CT,41.8059639952726,-72.7779325216418,0.00586207661109786
Western Connecticut,Lake Kenosia,CT,41.3843761197454,-73.5031301760678,0.240260812335263
Capitol,Hartford Reservoir Number 1,CT,41.749921712357,-72.7782764876379,0.114109120557471
Capitol,Stub Pond,CT,41.8098314555888,-72.8444895709733,0.0371828573775112
Capitol,Secret Lake,CT,41.811929676601,-72.8803099607034,0.104722135003243
Capitol,Bond Pond,CT,41.8220881486828,-72.8912711604712,0.031936828809458
Capitol,Enders Pond,CT,41.9529652476431,-72.8851481984175,0.00370652250938443
Capitol,Gale Pond,CT,41.838861077711,-72.7826367341666,0.0508299434484267
Capitol,Nepaug Reservoir,CT,41.8110476795925,-72.9458610391157,3.34158737164058
Capitol,Swan Lake,CT,41.8109731909243,-72.2525389644958,0.00939417185787784
Capitol,Keney Park Pond,CT,41.7883284118594,-72.6917619971287,0.0135451874557005
Western Connecticut,Silvermine Pond,CT,41.1704170669665,-73.4704679697339,0.00947008462381301
Western Connecticut,Hicock Pond,CT,41.1831426355472,-73.4781568774331,0.00758747684089834
Western Connecticut,Herhold's Pond,CT,41.1825281515503,-73.4738257351705,0.00256997252789748
Capitol,Farmington Reservoir,CT,41.7106929225474,-72.8265802153611,0.0679122571953223
Capitol,Lake Basile,CT,41.9187590789811,-72.7848528178793,0.0621442428548665
Capitol,Hoe Pond,CT,41.8171304753926,-72.7981047342199,0.0546517642240775
Capitol,Stratton Park Pond,CT,41.8652575629865,-72.8344531036104,0.0089493164425717
Capitol,Farms Road Pond,CT,41.7721259657577,-72.8285760491053,0.0076019410253803
Capitol,Simsbury Reservoir,CT,41.8861967209227,-72.866481656967,0.0337256718436162
Capitol,Stratton Brook State Park Pond,CT,41.8639203857449,-72.8357837070651,0.00399701418759399
South Central Connecticut,Long Pond,CT,41.3151231697651,-72.9583624533311,0.00665720169166228
South Central Connecticut,Edgewood Ave. Pond,CT,41.3164655857161,-72.9576640599224,0.00331401615153977
South Central Connecticut,Edgewood Park Pond,CT,41.3141167115523,-72.9548999115686,0.0129113364108196
South Central Connecticut,Lake Wintergreen,CT,41.3550605599095,-72.9677099333674,0.184262526181903
South Central Connecticut,Lake Dawson,CT,41.3719250530014,-72.9768993846417,0.269616634151148
South Central Connecticut,Iris Pond,CT,41.3231473978043,-72.957975637091,0.00164382072579957
Lower Connecticut River Valley,Millers Pond,CT,41.476421325154,-72.6333906642337,0.128203303422818
South Central Connecticut,Farm Brook Reservoir,CT,41.3959715487088,-72.9420045119374,0.0678538062840647
South Central Connecticut,Lake Whitney,CT,41.3514734978167,-72.9141107687016,0.599088076988836
South Central Connecticut,Glen Lake,CT,41.3775899977105,-72.9833717837708,0.0949436554521779
South Central Connecticut,Lake Chamberlain,CT,41.3986543108628,-72.9878584380539,0.425164484771198
South Central Connecticut,Wintergreen Brook Dam,CT,41.3819927483158,-72.9569558288245,0.00946810230095157
Naugatuck Valley,Mystic Reservoir,CT,41.4807344386948,-72.9333351826089,0.0204764294861939
Capitol,Marsh Pond,CT,41.9248721125878,-72.7530702263611,0.0465277373896771
Capitol,Crandall Pond,CT,41.8650012830303,-72.3699923499829,0.0126499857010644
Capitol,Powell Pond,CT,41.8622116603204,-72.3717375744,0.0208397903984388
Capitol,Quarry Pond,CT,41.8656230124354,-72.3978093293372,0.0102847227458586
Capitol,Poehnerts Pond,CT,41.8785337121682,-72.3909547249747,0.0319533432738291
Capitol,Walker Reservoir East,CT,41.849362641545,-72.4307627626124,0.0241663669343852
Capitol,Tolland Marsh Pond,CT,41.8581620840477,-72.3634868469939,0.120184933520694
Capitol,Sumner Lake,CT,41.8513777816949,-72.3572111236484,0.0447666823413194
Capitol,Mountain Springs Road Dam,CT,41.8666905503787,-72.4030542871193,0.00667465731623942
Southeastern Connecticut,Brandegee Lake,CT,41.3741316401668,-72.1235852699435,0.117357629738834
Capitol,Tankerhoosen Lake,CT,41.8268970361751,-72.4775769033472,0.0292181983503186
Capitol,Sun Valley Lake,CT,41.9771728602461,-72.3624937713445,0.0379132566233985
Western Connecticut,Putnam Park Pond,CT,41.3404148316471,-73.3796328651928,0.0670799468764863
Western Connecticut,Nash Pond,CT,41.1394346439692,-73.374455113182,0.0492947082075358
Western Connecticut,Taylors Pond,CT,41.3171740578301,-73.4915780605923,0.0215773899023113
Greater Bridgeport,Frog Pond,CT,41.2429187800828,-73.1651510127022,0.0112927263847441
Western Connecticut,Dommericks Pond,CT,41.0839196841487,-73.6241598335084,0.00381722772021022
Western Connecticut,John Pond,CT,41.1014311423012,-73.6791650111106,0.00506330377910972
Greater Bridgeport,Lake Mohegan,CT,41.2051908746067,-73.2546407434475,0.0668944158350382
Western Connecticut,New Canaan Reservoir,CT,41.1798649592969,-73.5153418566566,0.0882201499621977
Western Connecticut,Pond Road Pond,CT,41.1991540497725,-73.4033174997731,0.0304434792440963
Western Connecticut,Lee Pond,CT,41.1595108893958,-73.3665820721948,0.0653785705357829
Western Connecticut,Devequar Lake,CT,41.1187100249209,-73.6720523832747,0.01399756783117
Western Connecticut,Trails End Pond,CT,41.1748015647151,-73.4643927869686,0.00850725708158164
Greater Bridgeport,Sherwood Millpond,CT,41.1427315911445,-73.2852167629758,0.0126037926482242
Greater Bridgeport,Great Brook Pond,CT,41.196164435775,-73.3192805440501,0.00619634392671558
Western Connecticut,Dunlap Lake,CT,41.0791420229614,-73.4607230914345,0.0314694083630272
Greater Bridgeport,Livermore Pond,CT,41.2834454888633,-73.336258495396,0.0142232761982
Western Connecticut,Raymonds Pond,CT,41.1142133390997,-73.5035877843421,0.0493315702983068
Western Connecticut,Blue Pond,CT,41.0512861267567,-73.6692893962182,0.0202666519305393
Greater Bridgeport,Arms Pond,CT,41.178890086942,-73.2864426968634,0.00583795251108331
Western Connecticut,Private Pond,CT,41.0462046873661,-73.6666931008761,0.0155050686526373
Western Connecticut,Signal Lake,CT,41.1257933608084,-73.3374369573191,0.0191854442154147
Western Connecticut,Pfeiffer Pond,CT,41.2223984833563,-73.3238865756286,0.0111617467669364
Western Connecticut,Little River Pond,CT,41.3446993484536,-73.3840770214239,0.0133590839071867
Western Connecticut,Collins Pond,CT,41.1634432062494,-73.5373339417673,0.025850589914293
Western Connecticut,John D Milne Lake,CT,41.2048264541211,-73.4947384019767,0.268946633134436
Western Connecticut,Millard Pond,CT,41.1188936290687,-73.4677988295622,0.0055690473008593
Western Connecticut,Lake Windwing,CT,41.3433339724308,-73.5102529550279,0.0603611106279088
Western Connecticut,Hillgelles Lake,CT,41.0679407912036,-73.671922102214,0.0168522108606124
Western Connecticut,Mianus River Reservoir,CT,41.0697480721827,-73.5782550389052,0.0178582597594068
Greater Bridgeport,Success Lake,CT,41.2109183182276,-73.1653446606207,0.0618756929193483
Western Connecticut,Earth Pond,CT,41.1708980267529,-73.5646002226047,0.00482041664695306
Western Connecticut,Old Farm Pond,CT,41.0695809022449,-73.4530846365833,0.00996533979167838
Greater Bridgeport,Frash Pond,CT,41.1710569290564,-73.1305600652338,0.111345756776815
Western Connecticut,Poor Pond,CT,41.1262684827326,-73.5789386881811,0.00981027012689883
Western Connecticut,Woodway Golf Club Pond,CT,41.1042293065901,-73.5075985880662,0.00971981341722864
Greater Bridgeport,Strongs Pond,CT,41.2924337155236,-73.2946257910316,0.00647965782171532
Greater Bridgeport,Great Hollow Lake,CT,41.3107652384994,-73.2460631229097,0.0689139666593638
Western Connecticut,Above Pond,CT,41.1776581166035,-73.5457213331614,0.015418884939729
Greater Bridgeport,Ballwall Pond,CT,41.2635912750518,-73.3189496528488,0.00815855544143443
Western Connecticut,Saddle Pond,CT,41.1496869113533,-73.5790833259222,0.0385230006597079
Greater Bridgeport,Thrushwood Lake,CT,41.2411142698002,-73.1708519060789,0.0182953358435107
Western Connecticut,Indian Spring Pond,CT,41.040962756326,-73.6541355492786,0.0255743353197071
Western Connecticut,Holts Ice Pond,CT,41.1047165550023,-73.5684755574917,0.0261373709779522
Western Connecticut,Cliffdale Pond,CT,41.0825013249223,-73.6922859996131,0.0040905920788457
Western Connecticut,Bolling Pond,CT,41.0802109157056,-73.6141576502538,0.0205238271620298
Western Connecticut,Topstone Pond,CT,41.3012889505085,-73.4399634985372,0.0240455793751037
Western Connecticut,Held Pond,CT,41.1814465021248,-73.3720180060437,0.137850051844903
Western Connecticut,Deer Run Pond,CT,41.2502191539483,-73.4735257117787,0.0200950342103657
Greater Bridgeport,Pinewood Lake,CT,41.2565162878495,-73.1763020145005,0.247033854551278
Greater Bridgeport,Canoe Brook Lake,CT,41.2529264259886,-73.2385905364307,0.257641596274279
Western Connecticut,Upper Nod Pond,CT,41.2464972871632,-73.4540169529353,0.00999871429048333
Western Connecticut,Davis Pond,CT,41.1352827015012,-73.4363875152876,0.0222754430329155
Western Connecticut,Steichen's Pond,CT,41.297936183616,-73.4380288233449,0.0626612081768901
Western Connecticut,Buckely Pond,CT,41.1397719021387,-73.2985702313963,0.0279627253398978
Western Connecticut,Lake Mead,CT,41.1032798534452,-73.6880735302899,0.0272026796395408
Western Connecticut,Grass Pond,CT,41.1207115242448,-73.5391455410255,0.0177791425560052
Western Connecticut,Attschul Pond,CT,41.1095848482435,-73.5844725439114,0.0138639477563546
Western Connecticut,Holly Pond,CT,41.0534036921711,-73.4985746556629,0.782122699822937
Western Connecticut,Hendersons Pond,CT,41.2170479125696,-73.4766452036908,0.0158383010519266
Greater Bridgeport,Big Lake,CT,41.3093637153122,-73.3068963519464,0.0138489218365394
Western Connecticut,Popes Pond,CT,41.2224379375628,-73.4516096880761,0.350902311717563
Western Connecticut,Fox Hill Lake,CT,41.3276268514778,-73.4888676448918,0.134203377128365
Western Connecticut,Umpawaug Pond,CT,41.3060728386989,-73.4494943704885,0.0551567844216975
Greater Bridgeport,Wooster Pond,CT,41.2147866831528,-73.141155906211,0.0180644035312586
Western Connecticut,East Lagoon,CT,41.3454005973327,-73.3571421092128,0.0124511787696152
Western Connecticut,Johns Pond,CT,41.2734102523703,-73.4599736921218,0.0290276151718976
Western Connecticut,Tilleys Pond,CT,41.0783675031167,-73.4722950146142,0.00939997531148552
Western Connecticut,Godfrey Pond,CT,41.2400862464857,-73.391023618833,0.0142836154468305
Greater Bridgeport,Kaatz Pond,CT,41.2828506409994,-73.2166481023549,0.00874991014588975
Western Connecticut,Betts Pond,CT,41.136545688262,-73.4004458864043,0.012170122952625
Western Connecticut,Old South Norwalk Reservoir,CT,41.1642669081395,-73.4453054795986,0.013037654022859
Greater Bridgeport,Bunnells Pond,CT,41.2097851910621,-73.1860808179431,0.146050447232019
Western Connecticut,Toll Gate Pond,CT,41.0567077255171,-73.6737343420591,0.0250998151056099
Western Connecticut,Scofield Dam,CT,41.2177902503036,-73.386117060694,0.00960128996485564
Western Connecticut,Deering Pond,CT,41.1329402568035,-73.4294980017474,0.0533727062308304
Western Connecticut,Wooley Pond,CT,41.0809165842375,-73.6969342700253,0.0243288028911859
Western Connecticut,Hawley Pond,CT,41.3312266964304,-73.4373470841263,0.0231868197114819
Western Connecticut,Rock Lake,CT,41.186085168066,-73.4529066746951,0.0828513432401577
Western Connecticut,Candees Pond,CT,41.2713628512586,-73.4492476077946,0.0288674216740293
Western Connecticut,Topping Pond,CT,41.1094143248656,-73.6600709175626,0.0461588716188367
Western Connecticut,Sugar Hollow Pond,CT,41.3489090767424,-73.4681092567043,0.0452800853490431
Greater Bridgeport,Stiener Lake,CT,41.340581343154,-73.2303430351031,0.0596372892469047
Western Connecticut,Seeley Pond,CT,41.2272059193727,-73.4219152347144,0.00757700870527697
Greater Bridgeport,Dirty Swamp Pond,CT,41.1971108906829,-73.2955709453413,0.0136636945533315
Western Connecticut,Putnam Lake,CT,41.0901846189124,-73.6388732690505,0.379987914207726
Western Connecticut,Millers Pond,CT,41.2867593947011,-73.4519982146449,0.0083710757701461
Western Connecticut,Cos Cob Mill Pond,CT,41.0347632352683,-73.5971486102379,0.0709430819404881
Western Connecticut,Mansfield Pond,CT,41.097528612477,-73.4760094376367,0.0123380388149824
Greater Bridgeport,Samp Mortar Reservoir,CT,41.1902551697828,-73.2594361787848,0.206325506292912
Western Connecticut,Two Acre Pond,CT,41.1562868440734,-73.5257171899637,0.00734726831788645
Western Connecticut,Domenicks Pond,CT,41.1720249745683,-73.4642283886987,0.0222815978843051
Western Connecticut,Cedar Pond,CT,41.1034261201641,-73.4554296926576,0.0371332886801391
Greater Bridgeport,Gould Manor Pond,CT,41.16139714075,-73.2434271565186,0.00744328838364081
Western Connecticut,Grays Pond,CT,41.1393446397761,-73.6234615157929,0.0164683560649524
Western Connecticut,Wilshire Pond,CT,41.1182894836871,-73.6594278653709,0.0671557782688921
Western Connecticut,Lower Park Pond,CT,41.3368050415471,-73.3762646007891,0.0126751876440508
Western Connecticut,Kents Pond,CT,41.2128361459656,-73.4734918501447,0.058026761264223
Western Connecticut,Sawmill Pond,CT,41.0681688475075,-73.6138597837849,0.00527741436505956
Western Connecticut,Seabury Pond,CT,41.0879669211177,-73.6712094030503,0.0192267421613961
Western Connecticut,Florshiem Pond,CT,41.1113473314094,-73.4629189483517,0.0105022788656783
Western Connecticut,Doral Pond,CT,41.0908425480983,-73.57194122799,0.016573723461074
Western Connecticut,Coopers Pond,CT,41.0839398997967,-73.5514181175488,0.0117183848431319
Greater Bridgeport,Banks Pond,CT,41.1570154109622,-73.3099755541132,0.00821467934786265
Greater Bridgeport,Island Brook Lagoon,CT,41.2162710016036,-73.2052008728848,0.0134748092293555
Western Connecticut,Mathers Pond,CT,41.1104069587675,-73.4752771864736,0.0191758592843916
Western Connecticut,Under Pond,CT,41.089208532528,-73.577607479473,0.00808117477793923
Western Connecticut,South Pond,CT,41.3336437602622,-73.3546730258899,0.013688518905161
Western Connecticut,Edge Pond,CT,41.3125048760358,-73.4522633957521,0.0166550510421528
Western Connecticut,Hazen Pond,CT,41.2715866454667,-73.4130274506283,0.0239559452480359
Western Connecticut,Dudley Pond,CT,41.1803193722242,-73.4020018390869,0.00353383639436285
