NAME,lake,st2,lat,lon,area
Early,Lake George W. Andrews,GA,31.2632973157431,-85.1118873336789,0.197292457914396
Quitman,Walter F George Reservoir,GA,31.8426748865433,-85.135224529382,33.8961059290565
Clay,Walter F. George Reservoir,GA,31.6951609451751,-85.0961309421978,69.3773824523325
Muscogee,Bibb Pond,GA,32.5070310136955,-84.9974298950682,0.581340193858798
Muscogee,Lake Oliver,GA,32.5531228570446,-85.0345044282354,7.27896518952995
Troup,West Point Lake,GA,33.0460503889317,-85.1460494685893,90.7832071025502
Lowndes,Enoch Lake,GA,30.6306056747689,-83.169891824632,0.15113914919508
Charlton,Lake Deborah,GA,30.7821561440875,-81.9828319894115,0.0667873623236892
Columbia,Bolgla Lake,GA,33.5045797105672,-82.2260984480203,0.0235110979571308
Columbia,Spring Lake,GA,33.5048031648099,-82.1141132745013,0.0606230001897945
Richmond,Lake Olmstead,GA,33.494980912661,-82.0043683595735,0.310610268714632
Columbia,Bowen Pond,GA,33.5416266073642,-82.0557153100688,0.179728491899405
Richmond,Goshen Lake,GA,33.3327178174484,-81.999158749594,0.0577109618779549
Cherokee,Payne-Smith Lake,GA,34.3391245471703,-84.4736304799782,0.0175710482181415
Cherokee,Blalock Lake,GA,34.1625569710286,-84.4035608258809,0.00606862853604512
Floyd,Halls Lake,GA,34.2716938776039,-85.0734882792388,0.0583799584839663
Fulton,Seagraves Lake,GA,34.1372045050999,-84.2983760787778,0.037334644574519
Paulding,Gore Lake,GA,33.9365700731643,-84.8779159590323,0.0333129990658918
Cherokee,Thurmond Lake,GA,34.1916096905084,-84.3292396149213,0.0217272683718806
Polk,Upper Coots Lake,GA,33.9733764948187,-84.998633111286,0.0442463186662526
Floyd,Wax Lake,GA,34.1406973094104,-85.0937864412905,0.377837567029961
Dawson,Brice Lake,GA,34.395748855371,-84.0749786834195,0.0452513003213322
Bartow,Conner Lake,GA,34.1085157907237,-84.8345270982509,0.0191652255037362
Bartow,Taylors Lake,GA,34.152635344661,-84.9882468131793,0.0867562687606772
Cherokee,Great Southeastern Land Fund Lake,GA,34.1280831425229,-84.3850708691906,0.0219560045442835
Cobb,Laura Lake,GA,34.0032289597814,-84.5565900533637,0.0710930539553587
Fulton,Copeland Lake,GA,34.1073505789275,-84.3049183000485,0.00450956982137897
Cherokee,Colony Land Development Lake,GA,34.0832078945165,-84.4754780025518,0.0317549351975174
Polk,Stringers Lake,GA,33.9935364170388,-85.1027923419995,0.0898971207291652
