NAME,lake,st2,lat,lon,area
Scott,Le Claire Canal,IA,41.5809495786623,-90.380827751148,0.834801032551108
Jackson,Lock No. 12,IA,42.260440671352,-90.4225074614531,0.0069755709546805
Lee,Lock No. 19,IA,40.3943963167559,-91.3754502424075,0.0133436190496023
Cerro Gordo,Briarstone Lake,IA,43.1454114384485,-93.2359214036068,0.103182077838029
Pottawattamie,Carter Lake,IA,41.2978508258038,-95.9162358954724,1.3516331027808
Allamakee,Founders Pond,IA,43.0844857676889,-91.1958158615543,0.140601604066113
Allamakee,Bluegill Pond,IA,43.0882905339582,-91.1835324787308,0.0135669282153492
Linn,Ink Pond,IA,41.9235491126132,-91.4251368565884,0.00169657680073435
Pottawattamie,Lake Manawa,IA,41.2061650449231,-95.858502219147,2.99211381021568
Boone,Katina Pond,IA,41.9817963919495,-93.8932246169753,0.000769573455590829
Webster,Badger Lake,IA,42.5865845383809,-94.1888188330806,0.175923668211359
Polk,Deer Pond,IA,41.6903798872726,-93.6354952086371,0.00411371661558821
Palo Alto,Rush Lake,IA,42.9463339597151,-94.8716550442233,1.84671763354736
Boone,Lost Lake,IA,41.9797511785258,-93.894646713957,0.00462603961460747
Polk,Brenton Slough,IA,41.7260394267726,-93.8035185480527,0.249561938042239
Pocahontas,Lizard Lake,IA,42.6723245111551,-94.4940580624528,1.10606523591027
Polk,Birdland Lagoon,IA,41.6131561421481,-93.6142210720113,0.0376548964141066
Polk,Lake Future,IA,41.7046665625209,-93.6071922981112,0.0557635295011702
Polk,Snyder Pond,IA,41.7020113972139,-93.6043417640019,0.000603132801375371
Polk,Lake Ceres,IA,41.6703542227109,-93.7136980983502,0.0103695108672654
Cerro Gordo,Zirbel Slough,IA,43.0498901046782,-93.3466406010776,0.213807851297279
Sioux,Winterfeld Pond,IA,43.2121531155146,-96.2915246404065,0.0538491107138092
Plymouth,Walmart's Pond,IA,42.7827570719174,-96.1892876846631,0.0314839139265644
Sioux,The Swimming Hole,IA,43.2122649657677,-96.3085926717812,0.019903106994275
Story,Ada Hayden Lake,IA,42.0669496977715,-93.6271528484824,0.520765049677301
Polk,Woodland Lake,IA,41.7601236986738,-93.4517190337976,0.0915438663747165
Sioux,Cabin Cove Pond,IA,43.2130729952572,-96.3131052623708,0.0504150685281881
Story,Peterson Lake,IA,42.0845032706521,-93.5959989629126,0.0794896318400196
Polk,Lake Petocka,IA,41.7066557758853,-93.4420490799587,0.0770219409746903
Story,Wilson Pond,IA,42.0192648304298,-93.4655086957449,0.00573269941526652
Story,Dakins Lake,IA,42.1711127960048,-93.2945466143511,0.0196862915362065
Polk,Copper Creek Lake,IA,41.604498467914,-93.528985406674,0.171965004805169
Clinton,Crystal Lake,IA,41.8155558622032,-90.5794502514484,0.118321852986518
Dubuque,Maus Park Lake,IA,42.4836472998362,-90.659883623591,0.0668412424249083
Jackson,Jackson Lake,IA,42.1969259215603,-90.3464375551571,0.269668433783119
Jackson,Snider Lake,IA,42.1821921446663,-90.3022720437461,0.0388705092080571
Jackson,Western Pond,IA,42.1923821240329,-90.35956809125,0.312377629507229
Jackson,Flat Lake,IA,42.1906729814454,-90.3456472395351,0.46204673109681
Jackson,Goose Lake,IA,42.1916412110219,-90.3338197077789,0.0464864843198875
Jackson,Bonnie Lake,IA,42.1947406892678,-90.3669315280732,0.276017928264381
Jackson,Fish Lake,IA,42.1722179284262,-90.3011604755431,0.196062732286185
Jackson,Upper Sabula Lake,IA,42.0726861665998,-90.1834190415779,0.457973618057605
Jackson,Upper Brown Lake,IA,42.1533845751114,-90.2559351191183,1.81322274882992
Jackson,Big Keller Lake,IA,42.1216595890082,-90.1800553143285,0.0686413567817163
Jackson,Middle Sabula Lake,IA,42.0657159740799,-90.1806661182402,1.05725956713755
Jackson,Twin Lakes,IA,42.1879304539522,-90.3227583537432,0.0142066696690506
Jackson,Upper Y Lake,IA,42.1188225689566,-90.1750203536256,0.108480866492751
Jackson,Little Keller Lake,IA,42.121114036163,-90.1848869665182,0.0505861898554996
Jackson,Lower Y Lake,IA,42.1141544383601,-90.1730878506496,0.0379496027065323
Jackson,Little Sawmill Lake,IA,42.1726747060988,-90.2826640072571,0.0266660333389198
Delaware,Tegeler Pond,IA,42.4816171661274,-91.1410926739798,0.147219466180009
Jones,Central Park Lake,IA,42.1117562605761,-91.1393221595752,0.0905148903396907
Sioux,Pool,IA,43.2013943749271,-96.3004139933954,0.000503333837259794
Sioux,Kiddie Pool,IA,43.2016985469564,-96.300279554134,0.000213443164816992
Scott,Lock No. 14,IA,41.5742811497066,-90.4008605101661,0.00689083555619369
Scott,Old Le Clarie Lock,IA,41.5743981238902,-90.4050294065829,0.00283685277309555
Muscatine,Spring Lake,IA,41.3364544800214,-91.0783460631477,0.0925650033263919
Scott,Buffalo Lake,IA,41.4556825245867,-90.7378435648861,0.0704525922813486
Scott,Lake Canyada,IA,41.5145827768337,-90.6843789846936,0.0425085023612859
Scott,Lake of the Hills,IA,41.5214583563267,-90.6780981508611,0.21690390695131
Scott,Quarry Pond,IA,41.570525376337,-90.475909072221,0.00812872914079854
Scott,Lambach Lake,IA,41.5269334486643,-90.6760692658474,0.0388055392281349
Scott,Timber Lake,IA,41.4819942683151,-90.7638776858655,0.00960849567289107
Louisa,Beattys Pond,IA,41.3287485144596,-91.0793545183383,0.168586884580022
Clinton,Willow Lake,IA,41.7885882499315,-90.2900780011489,0.0257406107648189
Scott,Blue Grass Lake,IA,41.5269509057898,-90.6904653809322,0.0441593488093192
Scott,Leaf Lake,IA,41.4837428454121,-90.7108057769903,0.0065675665331589
Muscatine,Arrowhead Lake,IA,41.5127588994512,-90.8380384287117,0.027125274196017
Louisa,Little Fox Pond,IA,41.2114491472213,-91.0999036844777,0.346633712865397
Louisa,Fox Pond,IA,41.2136375449365,-91.0978144125461,0.01627388736962
Louisa,Klum Lake,IA,41.2651074968963,-91.1415850745864,0.0618658594445299
Muscatine,Keokuk Lake,IA,41.375641095041,-91.1495024200409,0.0395328077391656
Scott,Carp Lake,IA,41.4827409744486,-90.6403915679956,0.0255944785309151
Scott,Railroad Lake,IA,41.5258008391843,-90.6845956053001,0.0940382502488532
Story,Hendrickson Marsh Lake,IA,41.936755641954,-93.2390134067176,0.534721594058832
Hamilton,Little Wall Lake,IA,42.2693458425344,-93.6373507353804,1.03123124322537
Mahaska,Lake Keomah,IA,41.2920529033212,-92.5400256409905,0.365256496118751
Jasper,Clarks Lake,IA,41.676636186815,-93.3469188585695,0.0255224283463207
Story,Arnold Lake,IA,42.0604410439564,-93.6031467174139,0.0195665594493327
Story,Twin Anchors Lake,IA,42.005358655157,-93.3427236819809,0.0220367393253972
Story,Hickory Grove Lake,IA,41.9882193495107,-93.3570610878382,0.32234536574315
Story,McFarland Lake,IA,42.0943468279559,-93.5699783049473,0.0285876556724977
Hamilton,Anderson Goose Lake,IA,42.3145479989308,-93.6254594676512,0.317236239511605
Appanoose,Rathbun Lake,IA,40.859519530893,-92.9779312255437,45.6524201414133
Wapello,Lake Arrowhead,IA,40.9739187415918,-92.337500078188,0.0530529307861792
Davis,Lake Wapello,IA,40.8153428649406,-92.5823721290211,1.07537763434958
Monroe,Maxon Reservoir,IA,41.0335238866449,-92.7822880475598,0.0539225110374049
