NAME,lake,st2,lat,lon,area
"",Lake Michigan,IN,43.649827,-87.15934,
Knox,Maria Pond,IN,38.7728968204977,-87.4898879279882,0.189844608447189
Lake,Wolf Lake,IN,41.6693057412527,-87.5231733453627,3.13081675821728
Lake,Cedar Lake,IN,41.3704067961865,-87.4323558419913,3.19471509741887
Lake,La Tulip's Harpor,IN,41.3534898708901,-87.4389361131745,0.00334440624653693
Howard,Wildcat Creek Reservoir,IN,40.4902791784475,-86.0281127458896,1.43435792830582
Whitley,Blue Lake,IN,41.2395428829465,-85.3626702016189,0.983310549959063
Allen,Fulk Lake,IN,41.2605067346062,-85.2857471138034,0.0502710019864478
Allen,Frog Pond,IN,41.1073350939918,-85.1611605029254,0.00768288401035236
Whitley,Shriner Lake,IN,41.2461117172512,-85.4505535213482,0.47523289929162
Whitley,Little Crooked Lake,IN,41.2581207589882,-85.4670756788783,0.0404766512655393
Noble,Mud and Weber Lakes,IN,41.3362872661283,-85.3985522561301,0.157941866712206
Noble,Bowen Lake,IN,41.3391581080543,-85.3767024371976,0.124084718799203
Noble,Finster Lakes,IN,41.3383730712857,-85.3688110038533,0.0194482004960897
Noble,Dock Lake,IN,41.335477915597,-85.3736028758456,0.0753435922309017
Noble,Norman Lake,IN,41.3368345038483,-85.4178067151819,0.108362431605677
Noble,Miller Lake,IN,41.3334129005245,-85.4188975701416,0.0582521311493955
Noble,Rivir Lake,IN,41.3324415598606,-85.4104754290656,0.0943711840650459
Whitley,Loon Lake,IN,41.2722088667207,-85.5392390456222,0.903513680820127
Noble,Big Lake,IN,41.2757822844333,-85.5014298474649,0.833680793040418
Noble,Cub Lake,IN,41.3155091238166,-85.5082562965562,0.0325521454937307
Noble,Bear Lake,IN,41.3225194809726,-85.5183743559578,0.551360359539221
Noble,High Lake,IN,41.3168260315339,-85.5344724801682,0.454533716211748
Noble,Wolf Lake,IN,41.3322497606742,-85.4978666262213,0.0550376333237022
Noble,Deep Lake,IN,41.3313489111982,-85.4795366056398,0.0640772130577471
Noble,Upper Long Lake,IN,41.3550381513465,-85.4870369414251,0.346058519978574
Noble,Lower Long Lake,IN,41.3742734205683,-85.4891507880314,0.253640211204743
Noble,Skinner Lake,IN,41.4006245593334,-85.3702342855758,0.47255058771792
Howard,Emerald Lake,IN,40.4300369782899,-86.1713687381269,0.207523689907639
Noble,Little Smalley Lake,IN,41.3110500264216,-85.5720205673243,0.00728014016736594
Noble,Beers Lake,IN,41.3185142611755,-85.570601783784,0.0117587429002557
Noble,Horseshoe Lake,IN,41.301216485243,-85.5886555822023,0.0618001230777896
Noble,Johnson Lake,IN,41.3096700901767,-85.6014084395955,0.0936013516258256
Noble,Baugher Lake,IN,41.3144585752586,-85.6080158062017,0.0964642603171586
Noble,Hindman Lake,IN,41.3464650731632,-85.6185841250464,0.0374643028322435
Noble,Moss Lake,IN,41.3430859849379,-85.6152498713537,0.0271271440335243
Noble,Gordy Lake,IN,41.3496648647992,-85.6268474001219,0.108290077362847
Noble,Rider lake,IN,41.3532713758492,-85.6303646662428,0.0105283828139815
Noble,Duely Lake,IN,41.3578455088778,-85.6318865176729,0.0601427796757844
Noble,Village Lake,IN,41.362957276321,-85.6365235354216,0.0390245074995499
Kosciusko,Hammond Lake,IN,41.364895238755,-85.6769008070741,0.023698666884736
Kosciusko,Allen Lake,IN,41.3607250858027,-85.6747200889592,0.0195860387558585
Kosciusko,Rothenberger Lake,IN,41.3584869522912,-85.6748027960947,0.0206113153454663
Kosciusko,Spear Lake,IN,41.3550779266332,-85.6663638065797,0.149346277113174
Kosciusko,Barrel-and-a-half Lake,IN,41.3517477325001,-85.6735406117598,0.0499000278852836
Kosciusko,Shock Lake,IN,41.3534509401562,-85.6910153991194,0.129532998139729
Whitley,Dollar Lake,IN,41.2848539455308,-85.5479834910238,0.0358740192812321
Whitley,Brown Lake,IN,41.2878872362466,-85.568168321591,0.0885657281841808
Whitley,Indian Lake,IN,41.2919848888136,-85.5804583027897,0.0164027213126693
Noble,Dollar Lake,IN,41.3639028264508,-85.4849398495427,0.0180312514092345
Kosciusko,Shoe Lake,IN,41.3080375701536,-85.7497779268038,0.141761659384053
Kosciusko,Big Barbee Lake,IN,41.2840839172089,-85.7050238022236,1.19284639263608
