NAME,lake,st2,lat,lon,area
Union,Fish Lake,LA,32.9989964286217,-92.0943450304544,1.46691096343126
Cameron,Round Lake,LA,29.8593052887351,-92.6505158153134,1.12717690646743
Vermilion,North Lake,LA,29.6813345825428,-92.1290514030262,0.736886497383858
Vermilion,White Lake,LA,29.7416022696391,-92.5000442544012,225.53482602411
Vermilion,Fearman Lake,LA,29.6830149022521,-92.1607836209284,3.72207513372165
Vermilion,Portage Lake,LA,29.6032359055464,-92.1060080690624,0.904872235583538
Cameron,Snake Lake,LA,29.8815408121049,-92.6548726344486,0.964594594550138
Cameron,Little Pecan Lake,LA,29.7999999188435,-92.7881099783528,2.31650446683853
St. Mary,Lake Salve,LA,29.5809168158022,-91.3049923132381,1.41460023250605
Iberia,Scat Lake,LA,29.5630591457279,-91.7930155458961,0.912236384532409
Iberia,Lake Jefferson,LA,29.5871117890383,-91.942864065457,0.186044378875283
Iberia,Oyster Lake,LA,29.5254471388804,-91.8695820686997,2.53596179599225
Lafourche,Halliburton Slip,LA,29.1210390930891,-90.2038012234661,0.395375689429718
Lafourche,Lake Fields,LA,29.6465183216653,-90.5829306539581,9.00058682615597
Concordia,Lake Saint John,LA,31.7130164507939,-91.445381638822,7.89252547846446
Concordia,Big Blue Hole,LA,31.6794749603223,-91.4100666711851,0.370348808230983
Tensas,Brushy Lake,LA,31.9856274188971,-91.2200968851736,11.4682577571607
Tensas,Lake Saint Joseph,LA,32.0368457112968,-91.193933268622,5.00323216371621
East Carroll,Lake Providence,LA,32.8318361770387,-91.2053352013865,5.54140910260367
Jefferson,17th Street Canal,LA,29.9813028186469,-90.1248570118547,0.0446538815030989
Orleans,Jazz Lake,LA,30.0508717556831,-89.9368930744731,0.0676453775376877
Orleans,Lagoon Number 2,LA,30.0353170463417,-89.9220850839886,0.251409395801403
Orleans,Spring Lake,LA,30.0293129730653,-90.0056558915448,0.0603509379081374
Orleans,Lake Kenilworth,LA,30.0289966701911,-90.0098350972768,0.0430023337931708
Orleans,Westlake,LA,30.0236718616955,-90.0086940568135,0.0676420774516774
Orleans,Willow Lake,LA,30.0315382040953,-89.9991125756608,0.0783718036164669
St. Tammany,Erwin Pond,LA,30.6270831150499,-90.1382555224188,0.000902748653301846
Washington,Reedy Pond,LA,30.8283310453029,-90.2598213168404,0.0276379856141089
St. Tammany,Eden Isle Canals,LA,30.2220219159005,-89.794701201012,0.789555204327301
St. Tammany,Lake Ramsey,LA,30.531434030852,-90.1772672148136,1.44190468094416
St. Tammany,Savanna Lake,LA,30.3590120481256,-90.0296021822117,0.00938213604238312
St. Tammany,P+L Ranch Pond,LA,30.5736601373217,-90.207229456933,0.0178539536464196
St. Tammany,Bayou Laurier,LA,30.2699675524759,-89.9567154173773,0.0392471751176298
St. Tammany,Little Lagoon,LA,30.1970491965944,-89.7500859408044,0.580845585669692
Washington,Wood Duck Pond,LA,30.7534248506355,-90.2168513102522,0.0127843819170866
St. Tammany,Tifts Lake,LA,30.3215055714974,-89.7033732884339,0.000725753312704817
St. Tammany,Foster Bayou,LA,30.1859635530739,-89.6671331520416,0.0162369199499651
Washington,Greens Pond,LA,30.7371024891806,-90.2296953008252,0.0272279103679942
St. Tammany,Bayou Des Mats,LA,30.2965493811115,-89.9794175152151,1.17260610294705
St. John the Baptist,First Canal,LA,30.2756557433524,-90.3440759577199,0.0749208104528355
Orleans,Lake Michoud,LA,30.060801527598,-89.9196455768939,0.571474899863688
St. Tammany,Stump Lagoon,LA,30.1738068191157,-89.7066007990648,0.1338815112001
St. Bernard,Bernard Lagoon,LA,29.7946449315124,-89.6222216037376,0.387309806448446
Orleans,Black Bayou Lagoon,LA,30.1092197281502,-89.9052072617353,0.0617975954362048
Plaquemines,Adema Pond,LA,29.6317190882495,-89.676348482605,0.745634116800255
Orleans,Lake Carmel,LA,30.0527021718503,-89.9581550130417,0.0747735738501856
Orleans,Little Lake,LA,29.9901344072854,-90.0944917533677,0.0256092711242104
Orleans,Goose Pond,LA,30.1591866143542,-89.6733397959537,0.314372083720403
St. Bernard,Magill Lagoon,LA,29.9956775245523,-89.5237859450543,0.649916049471008
Orleans,Charley Pond,LA,29.873903847893,-89.9193966011888,0.00221690534424394
St. Charles,Grand Bayou,LA,29.8504387878131,-90.4026942267781,0.00144510163398337
Lafourche,Petit Bois Bayou,LA,29.6486739206541,-90.4320946329642,0.0138267434266596
Assumption,Cedar Grove Plantation Pond,LA,29.8776101489086,-90.9257850072581,0.0192776792081145
Orleans,Brechtel Park Lake,LA,29.9072944424423,-90.0107683519232,0.0382673037584093
Lafourche,East Fork Bayou L'Ours,LA,29.4297904080514,-90.124319237327,0.00438664264184699
Plaquemines,L Bayou Mc Cutchen,LA,29.5809279300468,-89.9377993493455,0.00104779805078204
Plaquemines,Shortway Bayou,LA,29.404572576082,-89.7056138997361,0.00653072270447478
Jefferson,Bayou De Fleur,LA,29.7130660380098,-90.0585970454487,0.00444371791962736
St. Charles,"Bayou Saut D""""Ours",LA,29.8510921744318,-90.4715128912477,
Plaquemines,Bayou Tambour,LA,29.5568624857915,-89.9096053998698,0.0110685252854178
Orleans,Lake Bullard,LA,30.0353259436711,-89.9544552547137,0.0875119046342722
Orleans,Blind Lagoon,LA,30.0754761850526,-89.8803695916333,4.31285025978709
Orleans,Bayou Michoud,LA,30.0408283925754,-89.9245922326178,0.052520313759197
Avoyelles,Smith Bay,LA,31.138194089237,-91.7308145112686,2.40622141752556
Catahoula,Hibbs Lake,LA,31.5600876239503,-91.8839366493479,0.0919654805903412
Concordia,"Lac A""""Sostien",LA,31.1253666518845,-91.6841452695856,
Avoyelles,Petit Lac Du Grand Bryon,LA,31.1286416041176,-91.9273808151349,0.28366897505839
Rapides,Williams Lake,LA,31.2701792956026,-92.3755566148236,1.18788607573644
Avoyelles,Nichols Lake,LA,31.2696267758773,-91.8959163022251,0.43753790090085
Avoyelles,Gin Lake,LA,31.1447706975107,-92.2042585569213,0.210783498736558
Avoyelles,Red River Bay,LA,31.1814626301607,-91.6975230265969,1.40262698906659
Rapides,Lake Aaron,LA,31.3625133855988,-92.2934201670827,0.00505119919728856
Concordia,Mud Lake,LA,31.1173313525198,-91.6749544174239,0.0180503669546281
Avoyelles,Lac A Paul,LA,31.1902748249023,-91.879838360036,0.00963789779182473
Catahoula,Mitten Lake,LA,31.2712884706617,-91.9589986549412,0.15413873181156
Rapides,Lake Tyler,LA,31.3641634134969,-92.294758469163,0.0224681766097787
Catahoula,Whites Lake,LA,31.2881878500495,-91.8675425112379,0.132252409190107
Concordia,Silver Lakes,LA,31.1326621238831,-91.7035443825674,0.221253382961123
Rapides,Tarkill Lake,LA,31.2030238447821,-92.3038155544642,0.291316262360591
Rapides,Bayou Maria Basin,LA,31.3111384550416,-92.3929626093522,0.95438373077926
Avoyelles,Lac Didier,LA,31.1172725617834,-91.8755427747482,0.335729332390131
Avoyelles,Lac Volee,LA,31.1946646731243,-91.8436730450264,0.248415932243415
Rapides,Rock Island Lake,LA,31.2589574896483,-92.3617304255294,0.357367978918181
Avoyelles,Lac A Madame Lee,LA,31.2451893876652,-91.8460020475713,0.0815748180758243
Avoyelles,Lac Moreau,LA,31.2395186121023,-91.9522956324123,0.0213166391980297
Rapides,Tanyard Lake,LA,31.2530855420898,-92.3532271065887,0.208732215885615
Avoyelles,Lac Poisson Arme,LA,31.2390812839326,-91.8708645901522,0.0348245104411588
Avoyelles,Lac Calebasse,LA,31.2188114726304,-91.8585941630491,0.0711799231586532
Avoyelles,Petite Baie,LA,31.224633243245,-91.8379188015627,0.0795657704481925
Avoyelles,Lac Sainte Agnes,LA,31.2114842802157,-91.9600568375192,0.922272490553742
Avoyelles,Mouillere A Dehors,LA,31.2314826349942,-91.8891923197253,0.0378815443972033
Concordia,Grand Bay,LA,31.0849950493956,-91.6948525930273,0.620441478939914
Concordia,Moreau Lake,LA,31.0871566205289,-91.7076749897657,0.161494319641104
Avoyelles,Premier Lac,LA,31.111134901566,-91.9973155527586,6.95223548324647
Avoyelles,Jeff Lake,LA,31.1776055783909,-91.7184496096028,3.49143838819274
West Feliciana,Timber Lake,LA,31.0280067838541,-91.7162057237761,0.0342456436776065
Concordia,Goose Lake,LA,31.1334521869612,-91.6795221925834,0.0308655481601234
Catahoula,Muscadine Bayou,LA,31.3172910575538,-91.8865751999943,0.0108972502123645
West Feliciana,Quarter Lake,LA,31.0305288394724,-91.6757996866045,0.00845391383446481
Avoyelles,Baie Ronde,LA,31.1893627624794,-91.7540479547779,0.138050695108222
Catahoula,Fish Hole,LA,31.3096712606469,-91.9046677765985,0.0198057789163772
Avoyelles,Lac Bec Croche,LA,31.0955945348403,-91.9498485942182,0.0053781772305066
Avoyelles,Long Lake,LA,31.053434723257,-91.7278412353834,0.139969957273349
Catahoula,Swan Lake,LA,31.3285234251979,-91.9992632569999,0.0824991562005345
Avoyelles,Martin Bay,LA,31.0431397438316,-91.7336811804942,0.307790146899626
Concordia,Flat Lake,LA,31.0451183429051,-91.7042970530734,0.290428270465014
Catahoula,Wise Lake,LA,31.3112757497253,-91.8851000232329,0.260496195721177
Catahoula,Devils Lake,LA,31.3461063461384,-91.9177229473878,0.050869597532847
Concordia,Prairie Lake,LA,31.0521515286985,-91.6019690754415,0.0344513511533824
Avoyelles,Lac Saulière,LA,31.1893329387529,-91.9842405294063,0.262601017752687
Avoyelles,Central Slough,LA,31.0582901665284,-91.9922015639085,0.0445862417933569
Avoyelles,Lac Ophelia,LA,31.2142598432235,-91.8845575024742,0.90923899788666
Rapides,Pierson Lake,LA,31.3254670333969,-92.4489781256744,0.0528106972142659
Rapides,Big Lake,LA,31.209907519707,-92.3193815862865,0.508275478868485
Catahoula,Big Hole,LA,31.3079232257301,-91.928924121653,0.0072526222722791
Catahoula,Walsh Lake,LA,31.3396146860074,-91.9013247791865,0.0553424460310413
Catahoula,Lorran Lake,LA,31.2778093004545,-91.8404689826722,0.215974209057279
Concordia,Hog Pen Lake,LA,31.1664525238581,-91.6680869535775,0.0723217930226992
Rapides,Lockhart Lake,LA,31.2060420099699,-92.3108949694855,0.0120809090969505
