NAME,lake,st2,lat,lon,area
Clay,Chatuge Lake,NC,34.9894030679252,-83.7731097471223,25.7954663137212
Wake,Shelley Lake,NC,35.8594190727803,-78.6611705112226,0.141679283064168
Wake,Crabtree Creek,NC,35.8720316930824,-78.825213112452,0.178701942070947
Wake,Bond Lake,NC,35.7783822639388,-78.8266763068773,0.176320529842951
Wake,Apex Community Lake,NC,35.7495611252719,-78.8195617094638,0.15734289564156
Wake,Lochmere Lake,NC,35.7324548781987,-78.7653638907504,0.309609820946698
Wake,Regency Lake,NC,35.7274166939119,-78.7959872608856,0.0899737621721751
Brunswick,Progressive Energy Discharge Canal,NC,33.9401623405916,-78.0416688730942,0.323680964968369
Orange,Hills Reservoir,NC,36.1575983846366,-79.1787476979187,0.962517319720645
Orange,University Lake,NC,35.8951650312036,-79.0976963334751,0.728330991244631
Durham,Swannonoa Lake,NC,36.0293097969859,-78.9569966133572,0.00586841631968144
Durham,Jesse Cole Lake,NC,36.0417460689081,-78.9658700808486,0.0205979210313261
Wake,Richland Lake,NC,35.8270666657582,-78.727949972046,0.126683035654392
Wake,Crabtree Creek Watershed,NC,35.8168017498895,-78.858488266026,0.101186053387261
Wake,Lake Johnson,NC,35.7619350417781,-78.7142814495614,0.590572753527248
Wake,Lake Wheeler,NC,35.6945274580051,-78.7113797524205,2.27107392690139
Wake,Dover Pond A,NC,35.7403531495188,-78.7186573384655,0.0273562576227777
Wake,Dix Hill Conference Center Pond,NC,35.7359875181766,-78.7067675906871,0.0323387344151006
Wake,Kings Pond,NC,35.8850020008671,-78.8012238192384,0.0850598678623084
Cumberland,Lake Rim,NC,35.0357339797378,-79.0405625681793,0.295438871414975
Cumberland,Beaver Creek Pond,NC,35.0649156699415,-78.9834587249846,0.373568867931672
Cumberland,Glenville Lake,NC,35.0717174905613,-78.8999316602169,0.101651065344808
Wake,Lake Lynn,NC,35.8783605583371,-78.6987635520855,0.204727747692784
Transylvania,Intermont Lake,NC,35.105402474077,-83.0036959549311,0.0479018798894238
Transylvania,Blue Ridge Lake,NC,35.1665263195616,-82.9388836488141,0.0130534905281283
Macon,Wilson Lakes,NC,35.0121219823781,-83.220181754405,0.0341744980741453
Transylvania,Hogback,NC,35.1117557425011,-82.9807130454277,0.0635592150478892
Jackson,Holly Berry Mountain Lake,NC,35.0680791088413,-83.1205247200051,0.0247390217848878
Jackson,Sapphire Lake,NC,35.1090602239165,-83.0213461385144,0.222444416798586
Jackson,Lupton Lake,NC,35.1269568664238,-83.0778567736061,0.0353943471114652
Jackson,Baumrucker Lake,NC,35.0648588137273,-83.1482934191763,0.0222948699190818
Transylvania,Frozen Lake,NC,35.0927636145826,-82.8740403273446,0.0219668561791375
Jackson,Meadow Lake,NC,35.1147734220361,-83.0411228509418,0.0206862015871388
Jackson,Trout Pond,NC,35.1382399645098,-83.0626871535825,0.0070084593650668
Transylvania,Raymond Fisher Pond,NC,35.0857989123579,-82.9488889092571,0.0021836741061713
Jackson,McConnell Lake,NC,35.1042829811472,-83.0847625225174,0.00998167506643406
Jackson,Cashiers Lake,NC,35.1069071658655,-83.1007039119088,0.0964956061395393
Jackson,Jewel Lake,NC,35.0970000007353,-83.0820267993411,0.00834704130473346
Jackson,Hogback Lake,NC,35.1202158854429,-83.0148130575123,0.0756985461482175
Johnston,Rothgeb Pond,NC,35.7504396028987,-78.3736432717024,0.0094331892712637
Wake,Camp Kanata Lake Number One,NC,35.9984587346455,-78.5643577938986,0.0358069690521589
Durham,Sykes Lake,NC,36.0925661644646,-78.8883846890924,0.0439816124444757
Orange,Fellowship Lake,NC,36.0396486995105,-79.1974829569981,0.0397943958775842
Wake,Macgregor Downs Lake,NC,35.7053848361468,-78.4781916447267,0.00598156657583091
Wake,Holiday Acres Lake,NC,35.7822644900324,-78.8044165981247,0.0308968991646173
Wake,Neuseoco Lake,NC,35.853455669032,-78.8335316596857,0.000550996134548223
Wake,Silver Lake,NC,35.748359565908,-78.7270564612696,0.0286314268651845
Wake,"Johnson, Lake",NC,35.7496512432491,-78.6206861849132,0.00114807289324488
Wake,Fellowship Lake,NC,35.9391079267101,-78.4100127884011,0.000879855698576537
Wake,Shaw Lake,NC,35.8938575161891,-78.6583147033012,0.0203683014024444
Wake,Twin Lake Number Two,NC,35.9497300515904,-78.4781313655938,0.00449301328263158
Wake,Emmitt Pond,NC,35.8697037642774,-78.4894724902903,0.00538641511921449
Wake,Nimich Pond,NC,35.9766857014005,-78.7089842733566,0.0017076170801711
Johnston,G R Barbour Pond,NC,35.4461502063778,-78.5034714954502,0.00653881720884339
Orange,Lake Overlook,NC,36.041766975673,-79.0567444377247,0.0354275047268591
Johnston,"Cowbone, The",NC,35.4156007644268,-78.235851032339,0.0010643589825104
Johnston,J R Wells Lake A,NC,35.3312233836278,-78.3346037207648,0.00119674871700073
Johnston,Tar Heel Farm Pond,NC,35.5024430549606,-78.5085903259989,0.00113843592329851
Wake,Spring Valley Lake,NC,36.0375513285665,-78.6990134008279,0.00232040794977849
Johnston,Atkinson Lake,NC,35.6832876775702,-78.3838917970364,0.00585777997570983
Wake,Misty lake,NC,35.917518367829,-78.6690993924707,0.0123377521496869
Wake,Penny Hill Lake,NC,35.9016321636912,-78.4389680438501,0.00787888802050735
Durham,Wake Forest Reservoir,NC,36.0380228880141,-78.9493782534396,0.0114542079260094
Durham,Lake Unity,NC,36.0317901825298,-78.9548452932577,0.00268949338356379
Wake,Rowland Pond,NC,35.5651371667087,-78.7247487746826,0.02903825053745
Durham,Noname,NC,36.0240670783461,-78.8459311211286,0.000547317591251625
Johnston,Lake Benson,NC,35.6102545137943,-78.2077667586226,0.00435724660328067
Wake,Roses Pond,NC,35.5660754604694,-78.7024687208547,0.00782507498184486
Wake,Lake Raleigh,NC,35.7653792242538,-78.6817333415111,0.276464887136046
Wake,Macedonia Lake,NC,35.7479439243561,-78.7493075664945,0.0392744398349659
Johnston,Ncsu Pond Number One,NC,35.7114113283258,-78.4487638355697,0.00264775400990008
Granville,Lake Rogers,NC,36.1350681717763,-78.7030356792937,0.589676984449053
Wake,Holdings Pond,NC,35.9574469258377,-78.5103054391563,0.0500423842150062
