NAME,lake,st2,lat,lon,area
"",Lake Erie,OH,42.163239,-81.428117,
Hamilton,Rivertown Marina,OH,39.0926476293485,-84.430168775678,0.0321491955726387
Clermont,Beckjord Ash Pond C,OH,38.9831730343129,-84.2939375218073,0.0787333006459741
Adams,basin,OH,38.6305422581296,-83.6733071763614,0.0098511283547306
Clermont,Beckjord Ash Pond A,OH,38.9988671317371,-84.2981814424548,0.147005379742345
Williams,Lake Teagarden,OH,41.6993427316447,-84.6878270973341,0.0387412516516458
Hamilton,Lake Isabella,OH,39.2370244293768,-84.3022029472985,0.0958041031027657
Warren,Landen Farm Lake,OH,39.3174674958724,-84.2781242594479,0.228319345582679
Clermont,Bern Lake,OH,39.2263444112994,-84.3132437624887,0.0895712022693855
Clermont,Lake Remington,OH,39.2232383293608,-84.3144142406878,0.0299907522905489
Hamilton,Lawrence Pond,OH,39.2047339212045,-84.3100337178024,0.00687265933599176
Clermont,Lake Slavin,OH,39.2137153873741,-84.2747779103313,0.0065043940776868
Clermont,Lake Meyer,OH,39.2171701239895,-84.2804279360732,0.00250878505767301
Clermont,Woodcreek Lake,OH,39.2021828304797,-84.2581718465337,0.00504281194888171
Clermont,WoodBridge Pond,OH,39.1978675356531,-84.2504415532651,0.00250173839878264
Clermont,Mallard Pond,OH,39.2312317978987,-84.2433564679464,0.000894478923190544
Warren,Royal Fountain,OH,39.3441387808834,-84.2678827354573,0.00242178016650573
Warren,Lake,OH,39.341398613586,-84.2670119113076,0.00140338651612298
Warren,Pine Hill Lake,OH,39.3532842202244,-84.3013864622872,0.0221217839178876
Warren,The Catfish Pond,OH,39.3586638314614,-84.3372493939979,0.00139729602597762
Warren,Rubel Lake,OH,39.3776931172631,-84.3025368383134,0.0121273812747472
Warren,Sunrise Lake,OH,39.3338974136493,-84.2355684120517,0.0673619919772805
Butler,Lake Butler Fishing Lake,OH,39.3186878443243,-84.3794703297495,0.00811700588337005
Hamilton,Cactus Lake,OH,39.2689168808239,-84.3101318309758,0.00381499789673024
