NAME,lake,st2,lat,lon,area
Malheur,Dead Ox Canal,OR,44.1214575357338,-116.931715570004,0.0207288319505265
Baker,Oxbow Reservoir,OR,44.9116675377679,-116.853632823834,4.66448542373318
Malheur,Salt Lick Reservoir,OR,42.7606420323365,-117.027193518409,0.0454730682598467
Wallowa,Hells Canyon Reservoir,OR,45.114122135579,-116.766278530211,8.91472135845457
Jackson,Black Swan Lake,OR,42.189951920397,-122.718473057587,0.00102956636406877
Multnomah,Mays Lake,OR,45.5693561142213,-122.543521224554,0.0220334774080355
Douglas,Diamond Lake,OR,43.1599904979068,-122.151655610536,12.2980491509105
Washington,Upper Tanasbrook Reservoir,OR,45.5343076602719,-122.860525378533,0.00872950213811417
Washington,Lower Tanasbrook Reservoir,OR,45.5322686200524,-122.866131902839,0.00476282747269997
Tillamook,Daley Lake,OR,45.1432045762082,-123.971580448916,0.0749648316205191
Multnomah,City of Portland Reservoir Number 6,OR,45.5113071021066,-122.60011991089,0.0508721375838827
Multnomah,City of Portland Reservoir Number 5,OR,45.5114701012237,-122.596553519054,0.0240070887889165
Jackson,Lower Reservoir,OR,42.1804869596333,-122.716628143397,0.00230280334490298
Deschutes,Paulina Lake,OR,43.7199421060791,-121.25817739632,5.54836504941893
Deschutes,East Lake,OR,43.7279970586018,-121.210403659231,3.99153619832193
Marion,Stone Quarry Lake,OR,44.9139444976685,-123.014022850687,0.168653365631554
Marion,Bluegill Lake,OR,44.9147457849065,-122.992555514059,0.019579134721643
Wasco,Lake Hanel,OR,45.4056545251873,-121.422081997464,0.0214763274428888
Marion,Wirth Lake,OR,44.909762766359,-122.989141281553,0.0761179052337832
Marion,Walling Pond,OR,44.9183352322917,-123.022952128587,0.039027726196024
Clackamas,Wilsonville Pond,OR,45.2656331565192,-122.783437431806,0.0276099184182223
Polk,Oak Crest Farm Reservoir,OR,44.9943232432371,-123.073516873439,0.00466794567900987
Marion,Berger Lake,OR,44.9031333885123,-123.046978195714,0.0183349923982087
Marion,Nelsons Pond,OR,44.8960224918385,-123.076570954224,0.00106861435820444
Clatsop,Clear Lake,OR,46.1729003948226,-123.942623509608,0.0220200618156478
Clatsop,Cullaby Lake,OR,46.0835689100502,-123.90312090688,0.854694789519878
Clatsop,Taylor Lake,OR,46.1004123489915,-123.908153188786,0.0333733123445059
Clatsop,Triangle Lake,OR,46.0635136963123,-123.8971131964,0.00832515897840583
Washington,Murrayhill Pond,OR,45.4400359690365,-122.827223319469,0.010805324553329
Clatsop,Abbot Lake,OR,46.1775742832112,-123.956237826845,0.00497153673861191
Clatsop,Crabapple Lake,OR,46.1661706646919,-123.952240999168,0.0339342880158363
Clatsop,Kyle Lake,OR,46.1544141761292,-123.953970683637,0.0151448852765693
Clatsop,Wild Ace Lake,OR,46.1538757930993,-123.942806871409,0.0572858221283669
Clatsop,Cemetery Lake,OR,46.1512179755745,-123.939155813577,0.0503782993533451
Clatsop,Slusher Lake,OR,46.1127456984576,-123.939531169547,0.0964746916850964
Clatsop,Sunset Lake,OR,46.0903257426107,-123.92700507374,0.464752916925162
Clatsop,Warrenton Reservoir,OR,46.0094981744862,-123.87012396058,0.0211647890745802
Clatsop,Coffenbury Lake,OR,46.170631896098,-123.960787106376,0.237328738113492
Clatsop,West Lake,OR,46.0711839249346,-123.911995161592,0.104092518184653
Marion,Willa Lake,OR,44.9264312644644,-122.938412625316,0.0149179055825025
Marion,Davidson Reservoir,OR,44.8990712151755,-122.922113859963,0.00102583664920885
Marion,North Reservoir,OR,44.990337672503,-122.941817772775,0.00136354358432548
Polk,Rohde Reservoir,OR,45.0225254758358,-123.199205650501,0.0562724013207862
Polk,Croft Reservoir,OR,44.9630124057203,-123.116911405416,0.0410589858694481
Polk,Staats Reservoir,OR,44.9638102149293,-123.110770298446,0.00970315242769513
Polk,Marx Reservoir,OR,44.9943235204045,-123.188678984025,0.0286009581353047
Polk,Beyers Pond,OR,44.9265250993961,-123.175637272579,0.00248844276057509
Polk,Bowles Reservoir,OR,45.0245292662883,-123.134543915639,0.00935978293358469
Polk,Brydon Reservoir,OR,45.0128667660357,-123.133344151326,0.00245981618412028
Marion,Dicker Reservoir,OR,44.8647743787749,-123.138322173028,0.00156988015225062
Polk,Eagle Crest Reservoir,OR,44.9776145150795,-123.134324821576,0.000271305137736975
Polk,Four H Reservoir,OR,45.0015248321559,-123.145091486717,0.00431000879879486
Polk,Haines Reservoir,OR,44.974809440592,-123.113290209642,0.01642019933906
Polk,Interstate Log Pond,OR,44.8619751470649,-123.18880554792,0.00102347724381646
Polk,Maple Mound Reservoir,OR,45.0122623331726,-123.15018749969,0.00171343295996337
Polk,Myers Reservoir,OR,44.9290833766394,-123.154266370403,0.00121747562898913
Polk,Parks Lake Reservoir,OR,44.9544821259288,-123.197213872289,0.00598028409054725
Polk,Riverbed Pond,OR,44.9867466757114,-123.044763930613,0.0532063568520357
Marion,Spady Reservoir,OR,44.9542915819593,-122.8709832559,0.00517794292514787
Polk,Stevens Reservoir,OR,44.9853376165234,-123.159873402433,0.00600337397383115
Marion,Waldo Lake Reservoir,OR,44.8941582862492,-122.891980652853,0.068057444744625
Washington,Graham Reservoir,OR,45.4928456505452,-123.137531039119,0.0482973558058634
Marion,Art McKay Reservoir,OR,45.1935091268,-122.921046833369,0.250614307875337
Marion,Fredericks Reservoir,OR,45.2067558612654,-122.796210854119,0.0106445152109889
Tillamook,Spring Lake,OR,45.5941266773341,-123.945334485887,0.0676543906562515
Tillamook,Lake Lytle,OR,45.623229720348,-123.940220268494,0.261406775435911
Clackamas,Joseph Rogers Reservoir,OR,45.2662355374004,-122.85836495933,0.0129774165245841
Harney,Harney Lake,OR,43.2333622459221,-119.119450486036,102.278274997817
Multnomah,Reed Lake,OR,45.4819182068974,-122.629504191352,0.0163205012068431
Marion,Fowler Reservoir,OR,45.2144731509947,-122.820324251394,0.0103111335349653
