NAME,lake,st2,lat,lon,area
"",Lake Erie,PA,42.163239,-81.428117,
Somerset,Youghiogheny River Lake,PA,39.7536947820601,-79.3850906507676,11.3792921684024
Lancaster,Conowingo Reservoir,PA,39.7419337427644,-76.2458527710138,34.991226782894
Warren,Allegheny Reservoir,PA,41.9473748508571,-78.9345222413404,49.5584034424744
Beaver,State Line Lake,PA,40.8382649674941,-80.5164159074971,0.0522074676324458
Crawford,Pymatuning Reservoir,PA,41.6051047994523,-80.49929069253,57.4362082415522
York,Pinchot Lake,PA,40.0739530272325,-76.8920022787272,1.48714082692998
Dauphin,Wildwood Lake,PA,40.3157450232527,-76.8866833702749,0.280124598345845
Union,Spruce Run Reservoir,PA,41.0294302897489,-76.9938717836851,0.25910484152238
Union,Half Way Lake,PA,40.9910270592257,-77.1902141556897,0.0236148884659616
Cumberland,Children's Lake,PA,40.1483884411699,-77.1262811218068,0.0243382559104189
Snyder,Walker Lake,PA,40.8032810525754,-77.1809328469572,0.961468371796662
Dauphin,Harrisburg Reservoir,PA,40.4738204377466,-76.7155677318069,2.46677027372992
Schuylkill,Lebanon Reservoir,PA,40.5477262373288,-76.4990006785693,0.420940064480519
Dauphin,Italian Lake,PA,40.2940084845063,-76.9010065463301,0.0175757176961539
Snyder,Faylor Lake,PA,40.7618836687195,-77.2209461567827,0.507876192070354
Lycoming,Mosquito Valley Reservoir,PA,41.1506411435474,-77.0842452212595,0.254211731509122
York,Lake Marburg,PA,39.7933794898103,-76.9028200169262,4.73886806784738
Adams,Lake Meade,PA,39.9849136626559,-77.0426508678242,1.13057192874227
Columbia,Fishing Creek,PA,40.9848473057001,-76.4731917965564,0.130724498267511
Dauphin,Middletown Reservoir,PA,40.2095180379237,-76.68728774165,0.0343899180771375
Fulton,Meadow Grounds Lake,PA,39.9137650694864,-78.0547785944512,0.82583872228603
Cumberland,Doubling Gap Lake,PA,40.2836996279821,-77.4143446139831,0.0144999277908026
Fulton,Cowans Gap Lake,PA,39.9984667588894,-77.9248974268831,0.171934875651791
Elk,East Branch Lake,PA,41.583821926686,-78.5654475852485,3.99400991542416
Delaware,Fenimore Pond,PA,40.0510933789538,-75.3764256820457,0.00743716594782978
Carbon,Lake Hauto,PA,40.8409432653907,-75.9131995858385,1.12735871587667
Carbon,Mauch Chunk Lake,PA,40.835556250302,-75.8162034410685,1.40829361099773
Schuylkill,Still Creek Reservoir,PA,40.8641313490857,-75.97417790026,1.33921309191525
Chester,Pickering Creek Reservoir,PA,40.1133874580168,-75.4978039439206,0.403710797301503
Allegheny,Panther Hollow Lake,PA,40.4368971566942,-79.948384246722,0.00791972889627328
Allegheny,Reservoir No. 1,PA,40.4811701200178,-79.9147925752997,0.0791043764238578
Allegheny,Highland Park Reservoir No. 2,PA,40.4810823444115,-79.9215179376413,0.0674569669188536
Allegheny,Mary Schenley Memorial Fountain,PA,40.4419966187035,-79.9518972783713,0.000224927772103719
Allegheny,Westinghouse Pond,PA,40.4394541662574,-79.9429494524044,0.000521543112082913
