NAME,lake,st2,lat,lon,area
Brookings,Lake Hendricks,SD,44.4936468667898,-96.456042489126,6.21014884342539
Deuel,South Slough,SD,44.6960283181768,-96.4670946159444,1.00732948714254
Deuel,Culvert Lake,SD,44.7137654077454,-96.4538905362463,0.308117054959734
Roberts,Gibsons Pond,SD,45.8952468757268,-96.5802611486617,0.0205399610009936
Yankton,Lake Yankton,SD,42.8602479204372,-97.4751675012066,1.29013576900891
Oglala Lakota,White Clay Lake / Makȟásaŋ Blé,SD,43.0008460317363,-102.566297795244,0.313681364658012
Bon Homme,Lewis and Clark Lake,SD,42.850110611403,-97.6697637620126,91.5328385815939
Harding,Bowman-Haley Reservoir,SD,45.9436198423057,-103.281054555305,0.0138644282237925
Dewey,Lake Oahe,SD,45.2626104527505,-100.518115012114,1256.45735280263
Custer,Lakota Lake,SD,43.8498973060031,-103.398014155633,0.0438532527588882
Custer,Sylvan Lake,SD,43.8459221797806,-103.563430748163,0.0736568192597897
Custer,Center Lake,SD,43.8009454451948,-103.416824698391,0.0993571621308156
Hughes,Capitol Lake,SD,44.3656140266091,-100.34326621132,0.0395202850282296
Pennington,Horse Thief Lake,SD,43.8931779416573,-103.481653808179,0.0665101361579356
Deuel,Midway Lake,SD,44.924594389152,-96.7317282001328,0.04987838550586
Roberts,Whitestone Lake,SD,45.6369074543364,-97.2016507474229,0.865587527680828
Marshall,Hill Lake,SD,45.7740361242429,-97.3271664548658,0.514568485733037
Marshall,Summit Lake,SD,45.7801460287037,-97.2684552181409,0.0398984795680681
Codington,Punished Womans Lake,SD,45.1122460460484,-96.9369239842228,1.96089239186142
Codington,Round Lake,SD,45.1127110122253,-96.912857684268,0.637736380324598
Grant,Pyror Slough,SD,45.0102795626817,-96.8209075044945,0.130343653499999
Grant,LaBolt Lake,SD,45.0547484191811,-96.6899013250799,0.0263086774728564
Grant,Myers Lake,SD,45.1903836760035,-96.9430054020762,0.535111990560749
Grant,Summit Lake,SD,45.2839639225406,-97.010287298643,0.687908140382168
Grant,Twin Lakes,SD,45.2570081832075,-97.0011030105668,0.631250217535018
Grant,Mud Lake,SD,45.0090597722391,-96.6762259097344,0.157265812607013
Grant,Lake Farley,SD,45.2301913330104,-96.6475689606895,0.310585650855289
Grant,Lake Albert,SD,45.2354474095329,-96.5205600970095,1.08520342537188
Roberts,Bullhead Lake,SD,45.4309206330943,-96.7715962273983,1.9961866286279
Roberts,Mollie Lake,SD,45.3745196180698,-97.0253116035757,0.151720694415657
Roberts,Mud Lake,SD,45.4774929392955,-96.9179933552107,0.290568462992556
Roberts,Lake Wilcox,SD,45.4057171775025,-96.6737865366959,0.0282204764073685
Brookings,Oak Lake,SD,44.5156859158387,-96.5293608596547,1.61831390610387
Deuel,Lake Astoria,SD,44.5565348246735,-96.5378318563149,0.380003456807213
Deuel,Cottonwood Slough,SD,44.6384586727242,-96.5121361565164,0.21150407517031
Deuel,Fish Lake,SD,44.601575164688,-96.4773397210496,2.97621372217805
Deuel,Lake Francis,SD,44.8209517825564,-96.5336926421497,0.433359067755697
Deuel,Rush Lake,SD,44.8287715554454,-96.6144697976591,0.541167509537907
Deuel,Fox Lake,SD,44.6555536158636,-96.523457272339,0.089933475134349
Deuel,Mud Lake,SD,44.7729848541964,-96.5917060379325,0.0745015797843281
Deuel,Briggs Lake,SD,44.7632387339631,-96.537339559452,0.332061890446156
Deuel,Lone Tree Lake,SD,44.8727415359349,-96.5830426648062,0.69117681613286
Lincoln,Lake Alvin,SD,43.4387452581453,-96.6214160724749,0.425181485090441
Codington,Lake Nicholson,SD,45.0207341784626,-97.375242002003,4.42218050190127
Clark,Madian Lake,SD,45.0431791804685,-97.6730222721758,0.263181868784631
Clark,Lake Todd,SD,45.0521323497419,-97.5539566717654,0.824907613311582
Clark,Pepper Slough,SD,45.0486333526432,-97.5993960798081,1.5799422106678
Clark,Carson Lake,SD,45.0522814486905,-97.5311518424576,0.660852206311445
Codington,Cooley Lake,SD,45.0010515732324,-97.3481571026318,0.613906744515924
Codington,Grass Lake,SD,45.0720346376577,-97.3837886050647,9.00887885090694
Codington,Still Lake,SD,45.0352541370079,-97.2360390117582,1.34585290153243
Codington,Wolf Slough,SD,44.8082138905353,-97.3296766023651,2.56820522680108
Clark,Dry Lake Number Two,SD,44.7006330968049,-97.6284930670466,34.2981243774883
Codington,Kings Lake,SD,45.0750720729028,-97.4475329402293,2.55574841783917
Hamlin,Lake Mary,SD,44.5841511322847,-97.1814403451012,0.813962532760207
Kingsbury,Lake Albert,SD,44.533057701277,-97.1573829454509,14.9458412942016
Hamlin,Dry Lake,SD,44.6270229892535,-97.0582710444436,8.20857713404636
Hamlin,Lake Florence,SD,44.6568122519087,-97.0412326656923,0.480159200021768
Clark,Cherry Lake,SD,44.5481495505207,-97.5172944863452,3.42795433222621
Hamlin,Lake Norden,SD,44.5956007829986,-97.1986801177052,2.98121093173776
Hamlin,Lake Poinsett,SD,44.5647950298589,-97.0804475947574,31.8048594243556
Hamlin,Lake Marsh,SD,44.6470725514752,-97.2445646402926,12.587588118504
Day,Bitter Lake,SD,45.2729480874811,-97.3310417478058,45.8265505506508
Brookings,Lake Oakwood,SD,44.4394744631448,-96.9679515252614,3.74956885193541
Brookings,Moe Slough,SD,44.4764938157856,-97.017805016055,0.752190100581818
Kingsbury,Lake Thisted,SD,44.475019257129,-97.1519271985958,1.10172533450733
Kingsbury,Lake Agnew,SD,44.4934530721931,-97.7063581795437,0.05640408879272
Kingsbury,Lake Badger,SD,44.4619189149144,-97.1766697601244,1.8366434928971
Kingsbury,Lake Preston,SD,44.3810097023236,-97.3204223118033,20.7567100889244
Day,Enemy Swim Lake,SD,45.4416098853531,-97.2641351929317,8.78558024887617
Day,Pickerel Lake,SD,45.5028886459564,-97.2743070995924,3.97950288358891
Day,Dahling Slough,SD,45.4029727010961,-97.3562942413473,0.840885790551781
Day,Blue Dog Lake,SD,45.352144965132,-97.2999056360447,6.66725710750742
Day,Campbell Slough,SD,45.4186264639631,-97.2676458525198,2.50112157593364
Marshall,Clear Lake,SD,45.6933857759154,-97.3590397604038,4.80665037616667
Marshall,North Red Iron Lake,SD,45.6900264953357,-97.3230635088115,0.734003522281893
Marshall,Island Lake,SD,45.7153249338993,-97.2860591891319,0.670103435755785
