NAME,lake,st2,lat,lon,area
Kane,Lake Powell,UT,37.2808643727495,-110.955278433293,549.217493423275
Washington,Stucki Debris Basin Reservoir,UT,37.0481628391527,-113.487912852096,0.127129922810999
Grand,Pace Lake,UT,38.5592380471704,-109.065399739499,0.233333321502698
Rich,Bear Lake,UT,41.9913939604203,-111.329455468751,270.445008698442
Washington,Blue Springs Reservoir,UT,37.3972559213122,-113.047682616201,0.190449718454336
Washington,Kolob Reservoir,UT,37.438602343844,-113.048321509487,0.935402224032803
Weber,Meadow Creek Pond,UT,41.1704592076443,-112.08220454608,0.0101761976545744
Box Elder,Willard Bay,UT,41.3777380076642,-112.089559838323,39.9984664741346
Weber,21st Street Pond,UT,41.2324203533238,-111.992753439278,0.0869919295548442
Davis,Steed Pond,UT,41.1225031460356,-112.043736402204,0.00964821283393638
Davis,Clinton Pond,UT,41.1493770774237,-112.081393805936,0.00966181409929732
Cache,First Dam,UT,41.7419652155107,-111.789760654814,0.0471662624406473
Davis,Farmington Pond,UT,40.992956747331,-111.888887425434,0.0120790853836502
San Juan,Lloyds Lake,UT,37.8518119393934,-109.362893989712,0.377123908871266
Wasatch,Deer Creek Reservoir,UT,40.4414667286289,-111.494278319773,9.52934704788561
Salt Lake,Mountain Dell Reservoir,UT,40.7551774781418,-111.716744626344,0.285053722173586
Utah,Retention Pond,UT,40.3213452035512,-111.764208026232,0.144260141984457
Salt Lake,Desolation Lake,UT,40.6595165607957,-111.602563966615,0.0346693835117374
Davis,East Pond,UT,40.9629700554281,-111.92663963548,0.017273484132993
Davis,Glover Pond,UT,40.9645560844113,-111.930627918125,0.134738591370639
Davis,Buffalo Ranch Pond,UT,40.9787004002139,-111.938978579304,0.0997465576437283
Davis,Eaglewood Village Fishing Pond,UT,40.8370753958637,-111.908435833679,0.00256110181739782
Utah,Spanish Oaks Reservoir,UT,40.0721816381136,-111.599425611169,0.0169477352408476
Salt Lake,Mount Olivet Reservoir,UT,40.7580330993317,-111.847020437412,0.0037352987921205
Juab,Mona Reservoir,UT,39.8588384675964,-111.866045252963,6.39535820761258
Salt Lake,Riverton City Fishing Pond,UT,40.5017166665926,-111.969439814816,0.0284978884338937
Salt Lake,Bingham Creek Reservoir,UT,40.5616688755131,-112.085750808215,0.0680804615562123
Salt Lake,Red Butte Reservoir,UT,40.7785552533637,-111.810145439522,0.0358483650596272
Davis,Holmes Reservoir,UT,41.0718369096765,-111.914560138044,0.110304983505516
Davis,Adams Reservoir,UT,41.0717411840823,-111.933396351797,0.143131539424471
Utah,Grove Creek Debris Basin Reservoir,UT,40.3726858440553,-111.712771463806,0.0308247103676425
Davis,Hobbs Reservoir,UT,41.1023856101365,-111.917943890526,0.0892032034458659
Weber,Causey Reservoir,UT,41.2992704194958,-111.580482446616,0.553266921108247
Summit,Echo Reservoir,UT,40.9479437143105,-111.41064426477,5.04589588176116
Box Elder,Spires Lake,UT,41.6099516007845,-112.309415399549,0.338179133206179
Cache,Second Dam,UT,41.7457733833899,-111.747860524631,0.0161562304535294
Cache,Third Dam,UT,41.7529877743371,-111.719890191248,0.0402596302780764
Davis,Big Pond,UT,40.9617109085631,-111.922951321933,0.0298759186416248
Cache,Hyrum Reservoir,UT,41.6189490431482,-111.859147049486,1.79781212708682
Box Elder,South East Bay,UT,41.4914052830898,-112.159700945193,2.76126340511052
Cache,Blanchard Spring,UT,41.746561182519,-111.863660236855,0.00193931402052803
Cache,Tony Grove Lake,UT,41.8936570929722,-111.643706210208,0.103935405824473
Box Elder,Mayor's Pond,UT,41.5037541658371,-111.998843906387,0.0111802239523458
Cache,Porcupine Reservoir,UT,41.5189079731118,-111.736644214978,0.688812796353308
Cache,Newton Reservior,UT,41.9036087145392,-111.980064124149,0.522581048741676
Duchesne,Butterfly Lake,UT,40.722235273488,-110.867089404658,0.0209476385421027
Duchesne,Castle Lake,UT,40.7221946043513,-110.875793293896,0.00404409247834187
Duchesne,Pearl Lake,UT,40.721308655034,-110.881874377797,0.0105942693313904
Duchesne,Scout Lake,UT,40.7216309480216,-110.885284429262,0.0813552432039248
Summit,Kamas Lake,UT,40.7272361714784,-110.9004312479,0.0736282516101347
Summit,Lofty Lake,UT,40.7287780732602,-110.894696425312,0.0133330090655932
Summit,BR - 33,UT,40.7485937947191,-110.900890325322,0.00837746331802747
Summit,Teal Lake,UT,40.7424923393192,-110.900362124281,0.0273747676760933
Summit,Cutthroat Lake,UT,40.7359233929984,-110.898130202785,0.0137722695406383
Summit,BR - 34,UT,40.7487307081,-110.906514724001,0.00975538207493573
Summit,Cuberant Lake,UT,40.7393347654609,-110.914451997138,0.0773916810015415
Summit,Cuberant No. 1 Lake,UT,40.7356424760085,-110.915775471527,0.012011763909759
Summit,Cuberant No. 3 Lake,UT,40.7349260336868,-110.920363089604,0.0140881162304216
Summit,Cuberant No. 4 Lake,UT,40.7364012174638,-110.923396017372,0.0131725733612868
Summit,W-17,UT,40.7411292538846,-110.923107526013,0.00772465475310658
Summit,W-18,UT,40.7429081481708,-110.920434781026,0.0113210270178587
Summit,Cuberant No. 5 Lake,UT,40.7405151784398,-110.929150323696,0.0138598882800152
Summit,Rockport Lake,UT,40.7717663133531,-111.394845531095,4.2204399730366
Summit,Haystack Lake,UT,40.6561216813785,-110.971830116647,0.0685644556230622
Summit,Beth Lake,UT,40.6521823894455,-110.968668844948,0.0166882147064941
Summit,Azure Lake,UT,40.6571753128939,-110.979527102239,0.0306902878695767
Summit,Rock Lake,UT,40.6597027978062,-110.98083748975,0.0314083460823224
Summit,Crystal Lake,UT,40.681695886153,-110.967314612478,0.040545030961037
Summit,Upper Lily Lake,UT,40.6840612622169,-110.964482601891,0.0132085586839788
Summit,Lily Lakes,UT,40.6840877519227,-110.96355586853,0.0257956224087781
Summit,Lower Lily Lake,UT,40.6841155416084,-110.962583376277,0.0125870637247994
Summit,Star Lake,UT,40.6914660623671,-110.946540461527,0.0799318601698447
Summit,W-54,UT,40.7561944452141,-110.926711959973,0.00731818182709214
Summit,W-57,UT,40.7606846127853,-110.922509594571,0.00975621590504366
Summit,W-56,UT,40.7636196307763,-110.936809704092,0.00807319673653348
Summit,Sand Lake,UT,40.7673826878194,-110.936644006686,0.0773421332623805
Duchesne,Mirror Lake,UT,40.7046496308749,-110.888233722268,0.220040170259563
Duchesne,Emerald Lake,UT,40.7045418123623,-110.896641260644,0.00393114497746539
Duchesne,Tadpole Lake,UT,40.7144400006441,-110.879022136059,0.0182845676901151
Duchesne,Bonnie Lake,UT,40.7108349511453,-110.876467316059,0.0275591122081147
Summit,Picturesque Lake,UT,40.7193524202839,-110.888526961136,0.00938332306458978
Summit,Jewel Lake,UT,40.7385328470465,-110.88925741639,0.00927361396753651
Summit,Fir Lake,UT,40.7407225991854,-110.885896957131,0.00252496637539472
Summit,Hayden Lake,UT,40.7331653206006,-110.887724313767,0.0158362384299782
Summit,Naomi Lake,UT,40.7355510418511,-110.883505523585,0.0104983009690132
Summit,Liberty Lake,UT,40.735722329312,-110.888831404752,0.00406992775409732
Summit,Ruth Lake,UT,40.733353402278,-110.881335717482,0.0382518589146074
Duchesne,Bud Lake,UT,40.717756222708,-110.87006323988,0.0151606921866587
Duchesne,Blythe Lake,UT,40.7041431663525,-110.8742841967,0.022489455675676
Duchesne,Marshall Lake,UT,40.675596867712,-110.874232076846,0.0785186795436554
Duchesne,Hoover Lake,UT,40.6795624796426,-110.870501261815,0.0769935846986221
Duchesne,Shepard Lake,UT,40.680989018512,-110.875499666182,0.0550402608134599
Duchesne,Maba Lake,UT,40.6826301829546,-110.870618203491,0.0172189061189327
Duchesne,Pyramid Lake,UT,40.6532940091638,-110.900525413389,0.0588703225586929
Wasatch,Lake Brimhall,UT,40.6001824473363,-111.539479619242,0.0416025340514387
Wasatch,Lost Lake,UT,40.6758703079437,-110.938089339158,0.282304167232709
Summit,Teapot Lake,UT,40.6805889961638,-110.942493488452,0.0595372731648896
Summit,Diamond Lake,UT,40.6854134460672,-110.944635831842,0.0121960975674219
Summit,Lake Marion,UT,40.6888584858112,-110.954936147336,0.00728633698677505
Summit,Shallow Lake,UT,40.6637492830655,-110.956894337339,0.0530960877807117
Summit,Shoestring Lake,UT,40.6679972098186,-110.955624271164,0.0452319559945152
Summit,Alexander Lake,UT,40.6095420691753,-110.977494708176,0.0893901321406222
Daggett,Greens Lakes,UT,40.8757604672179,-109.539215097866,0.0850341638195849
Daggett,West Greens Lake,UT,40.8789041359926,-109.546780591088,0.0643980491091949
Summit,W-52,UT,40.7771709029086,-110.927075823542,0.0148004932758727
Summit,W-53,UT,40.7684769005207,-110.928166419821,0.00855843240269977
Summit,Whiskey Island Lake,UT,40.7616111118246,-110.907155316496,0.0213306970140391
Duchesne,Wilder Lake,UT,40.6906071425074,-110.843870843691,0.0165788052962535
Duchesne,Brooks Lake,UT,40.6873179685841,-110.824351201379,0.00651665713813424
