NAME,lake,st2,lat,lon,area
Mineral,Jennings Randolph Lake,WV,39.4180144408797,-79.1366346486988,3.70423671267787
Morgan,Tubby's Pond,WV,39.5296931450775,-78.4545486780804,0.00255411370851799
Jackson,Turkey Run Lake,WV,38.9667085620317,-81.7706458583972,0.103030275914515
Wood,Catch and Release,WV,39.4019666519268,-81.441241094188,0.00342096210777925
Jackson,Kera Lakes,WV,38.9232204455736,-81.8187094223916,0.020417953954852
Jackson,Turkey Foot Lake,WV,38.9782334980027,-81.7660602767228,0.00624465500285312
Ohio,Pike Island Pool,WV,40.1787668737865,-80.684060341147,3.35745692050295
Monongalia,Cheat Lake,WV,39.6877917123935,-79.8669817899101,5.64166909334653
Monongalia,Point Marion Pool,WV,39.6744566820003,-79.9574968419942,2.65543110632902
Hardy,Rockcliff Lake,WV,38.9589716685453,-78.7379551075362,0.0506047822056038
Hardy,Trout Pond,WV,38.9550454502708,-78.7359923895663,0.00446961733769489
Jefferson,Lake Shannondale,WV,39.2093176616416,-77.8154481016268,0.190182677806949
Wood,Lake Washington,WV,39.2535610645734,-81.6578412663911,0.0661010568744633
Pocahontas,Shavers Lake,WV,38.4168151585469,-79.9817514868386,0.169193941311164
Grant,Mount Storm Lake,WV,39.1876354927438,-79.2606382598821,4.63135567522634
Monongalia,Cobun Creek Reservoir,WV,39.6106743199664,-79.9636935808173,0.0469221561697121
Jefferson,Lake Quigley,WV,39.3221913694144,-77.7367018404809,0.00843782587560882
Mercer,Ada Lake,WV,37.281028645932,-81.1506504143779,0.0427739602392602
Mercer,Doctor Daniel Hale Lake,WV,37.3205518231486,-81.1872870041625,0.276681268727575
Mercer,Horton Lake,WV,37.2771240028099,-81.1764030048057,0.0496567091381836
Hardy,Kimsey Run Lake,WV,38.9592033984138,-78.8170119024876,0.201644745442721
Preston,Lake O' Woods,WV,39.7047037551292,-79.7380650079843,0.346313795982875
Mineral,Kalbaugh Pond,WV,39.4202376587706,-79.1155640255897,0.00208218037273929
Ohio,Good Lake,WV,40.0591341071393,-80.6696955038586,0.00390839979058552
Mercer,Athens Reservoir,WV,37.403165418145,-81.0166616384817,0.196347168862069
Morgan,Cacapon Lake,WV,39.5081044574736,-78.3064635826336,0.0254392469767688
Preston,Big Bear Lake,WV,39.6007286536787,-79.505825162781,0.137432750197047
Monongalia,Mason Lake,WV,39.6868927896088,-80.115641384232,0.0459312714664821
Harrison,Maple Lake,WV,39.291503895394,-80.2088314232986,0.086023655791903
Harrison,Oral Lake,WV,39.2754947952095,-80.2181314269907,0.063898826826712
Harrison,Hinkel Lake,WV,39.273115437938,-80.2541995272182,0.0266226736927062
Harrison,Deegan Lake,WV,39.2665141286431,-80.2502492585081,0.0662248361317121
Raleigh,Lake Stephens,WV,37.7913509817808,-81.2993541974183,1.04313500086032
Raleigh,Raleigh County Airport Pond,WV,37.7844644611309,-81.116881702208,0.00667356437110889
Raleigh,Little Beaver Lake,WV,37.7528749105126,-81.0810133504523,0.067872684626992
Greenbrier,Summit Lake,WV,38.2520439621216,-80.4371389854384,0.149268304511777
Monongalia,Stiles Run Dam,WV,39.7088262786788,-80.2987999054469,0.0390503682707579
Webster,Caesar Lake,WV,38.414377373312,-80.4870169216209,0.0517076399602946
Pocahontas,Lake Buffalo,WV,38.5314976364014,-79.7021790350421,0.0908753224066508
Randolph,Sherwan Lake,WV,38.8295829979077,-79.8705986844098,0.0212200599902588
Raleigh,Flat Top Lake,WV,37.6198826345937,-81.101704722037,0.830521927484144
Fayette,Plum Orchard Lake,WV,37.9458358898177,-81.2192681384555,0.642112586241939
Preston,Hulls Lake,WV,39.4697076063223,-79.4985961785126,0.602202163825796
Ohio,Schenk Lake,WV,40.0990777691419,-80.6638067202182,0.0111863396069929
Harrison,Lake Floyd,WV,39.2854568315794,-80.5057794604523,0.124349117145644
Kanawha,Coonskin Park Pond,WV,38.3905855814498,-81.5837029599603,0.00989193668015941
Hampshire,Runoff Pond,WV,39.3066440210739,-78.4226325633793,0.00189605301913774
Fayette,Hoover Pond Dam,WV,38.0373028706058,-80.9153870175505,0.000588518278050907
Fayette,C.W.Blake Pond,WV,38.0343498892475,-80.9094834221925,0.0015574179133774
Fayette,JWBlake Pond,WV,38.0346535369294,-80.9146154034008,0.000795762708410604
Fayette,LMcGraw Pond,WV,38.0356746917878,-80.9108698761936,0.000497544411353479
Roane,Charles Fork Lake,WV,38.7620999374584,-81.3448966869117,0.223105802550846
Wood,Mountwood Park Lake,WV,39.2413063371544,-81.3086405608085,0.170185000790754
Wood,Highland Lake,WV,39.2651023962748,-81.6341443496564,0.00657740139823586
Wood,Lake Ron,WV,39.2632906418536,-81.6316346605477,0.00401832139979709
Logan,Ridge View Twin Lakes,WV,37.927522227424,-81.9875942717964,0.00273198300684927
Mineral,Keyser Reservoir,WV,39.3897668046356,-78.9820459231023,0.0115608142419647
Mercer,Durrs Pond,WV,37.3916736292431,-81.0424782434802,0.00692879522125424
Kanawha,Lake Chaweva,WV,38.4151618422043,-81.7882928014581,0.0899757416526611
Kanawha,Yukon Lake,WV,38.5580376096673,-81.5686898848052,0.0262519875614557
Preston,Silver Lake,WV,39.2544341314948,-79.4957947814404,0.0512161904749126
Wood,Smith Lakes,WV,39.234352680193,-81.5792280283283,0.019284013888442
Pocahontas,Seneca Lake,WV,38.3069770685601,-79.9412639681749,0.0216542908161963
Logan,Hyer Lake,WV,37.9592379552765,-81.9776392696896,0.0125939441911482
Pendleton,Brandywine Lake,WV,38.600642686541,-79.2039595668664,0.0379168231988236
Pendleton,Dam No. 12,WV,38.6359722778808,-79.2187766502831,0.0199336839427375
Preston,Upper Deckers Creek Structure Number One Dam Resevoir,WV,39.5045044591028,-79.8419031395382,0.152240864189839
Monongalia,Deckers Creek Source,WV,39.5385561772655,-79.8821823927058,0.000789302600383145
Monongalia,Harris Lake,WV,39.6786418034491,-79.7757785730476,0.012570784438701
Monongalia,Coopers Rock Lake,WV,39.6596298133084,-79.7898933538307,0.0183371372125664
Monongalia,Lagoon,WV,39.6462530316284,-79.982723533482,0.00604954008743914
Tucker,Pendleton Lake,WV,39.117461415673,-79.4977662815318,0.0422916438893195
Morgan,Cacapon State Park Lake,WV,39.5009181744848,-78.2971474509638,0.025139885518945
Randolph,Spruce Knob Lake,WV,38.7026547338699,-79.5882250670694,0.104500509418729
Grant,Elk Run Reservoir,WV,39.2041838623026,-79.3990445851478,0.167783315733466
Upshur,Renny Halls Farm Pond,WV,38.9534399331071,-80.1707561684712,0.0325266828359992
Hampshire,Lake Ferndale,WV,39.4602934603955,-78.6053943900013,0.191983694160988
Webster,Big Ditch Lake,WV,38.4073944219992,-80.5725432963061,0.262871784810166
Mingo,Laurel Lake,WV,37.8433876103103,-82.2121190759819,0.0943897411658343
Taylor,Tygart Lake,WV,39.2782461199944,-80.0045196269586,6.40884722262164
Berkeley,Poorhouse Farm Park Lake,WV,39.4601479846081,-78.0380962192631,0.0139358718880998
Tucker,Big Pond Puddle,WV,39.1469377399124,-79.4538142198973,0.0185377806157041
Cabell,Lake William,WV,38.3872197326763,-82.2993595627326,0.0563433743152359
Roane,Miletree Lakes,WV,38.8065540701088,-81.3680864100322,0.0211656806422916
Doddridge,Crystal Lake,WV,39.3265476541196,-80.7947062249401,0.113568056434998
Pendleton,Dam No. 10,WV,38.6606199324257,-79.1912927986994,0.0380464173977489
Harrison,Buffalo Lake,WV,39.2028517612287,-80.4271093207315,0.199800881695174
Berkeley,North Mountain Paintball,WV,39.3455754268364,-78.1385006544251,0.00174262946329385
Harrison,Salem Auxillary Lake,WV,39.2901031643387,-80.5518743273048,0.0544421851412695
Marion,Laurel Run Lake,WV,39.4669156394121,-79.9961480048331,0.0184411197974134
Monongalia,Paradise Lake,WV,39.5008415248411,-79.9090158954858,0.0602848844184347
Monongalia,Wildwood Lake,WV,39.5045234596848,-79.9041232095005,0.0497143038512874
Barbour,Teter Creek Lake,WV,39.1072333104064,-79.8738148222799,0.145120961185746
Pendleton,Dam No. 9,WV,38.6758191955125,-79.1667855701939,0.034126588345744
