zipcode,HUC8,HUC4,triplet1,triplet2,triplet3,triplet1last,triplet2last,triplet3last
27812,3020103,302,3020103,3020101,3020102,0103,0101,0102
27819,3020103,302,3020103,3020101,3020102,0103,0101,0102
27825,3020103,302,3020103,3020101,3020102,0103,0101,0102
27827,3020103,302,3020103,3020101,3020102,0103,0101,0102
27852,3020103,302,3020103,3020101,3020102,0103,0101,0102
27861,3020103,302,3020103,3020101,3020102,0103,0101,0102
27864,3020103,302,3020103,3020101,3020102,0103,0101,0102
27871,3020103,302,3020103,3020101,3020102,0103,0101,0102
27878,3020103,302,3020103,3020101,3020102,0103,0101,0102
27879,3020103,302,3020103,3020101,3020102,0103,0101,0102
27884,3020103,302,3020103,3020101,3020102,0103,0101,0102
27806,3020104,302,3020104,3020103,3020101,0104,0103,0101
27808,3020104,302,3020104,3020103,3020101,0104,0103,0101
27810,3020104,302,3020104,3020103,3020101,0104,0103,0101
27814,3020104,302,3020104,3020103,3020101,0104,0103,0101
27821,3020104,302,3020104,3020103,3020101,0104,0103,0101
27885,3020105,302,3020105,3020104,3020103,0105,0104,0103
27936,3020105,302,3020105,3020104,3020103,0105,0104,0103
27943,3020105,302,3020105,3020104,3020103,0105,0104,0103
27960,3020105,302,3020105,3020104,3020103,0105,0104,0103
28511,3020105,302,3020105,3020104,3020103,0105,0104,0103
27531,3020202,302,3020202,3020203,3020201,0202,0203,0201
28523,3020202,302,3020202,3020203,3020201,0202,0203,0201
28586,3020202,302,3020202,3020203,3020201,0202,0203,0201
27807,3020203,302,3020203,3020202,3020201,0203,0202,0201
27813,3020203,302,3020203,3020202,3020201,0203,0202,0201
27828,3020203,302,3020203,3020202,3020201,0203,0202,0201
27830,3020203,302,3020203,3020202,3020201,0203,0202,0201
27851,3020203,302,3020203,3020202,3020201,0203,0202,0201
27873,3020203,302,3020203,3020202,3020201,0203,0202,0201
27880,3020203,302,3020203,3020202,3020201,0203,0202,0201
27883,3020203,302,3020203,3020202,3020201,0203,0202,0201
27888,3020203,302,3020203,3020202,3020201,0203,0202,0201
28538,3020203,302,3020203,3020202,3020201,0203,0202,0201
28554,3020203,302,3020203,3020202,3020201,0203,0202,0201
28580,3020203,302,3020203,3020202,3020201,0203,0202,0201
28509,3020204,302,3020204,3020202,3020104,0204,0202,0104
28510,3020204,302,3020204,3020202,3020104,0204,0202,0104
28519,3020204,302,3020204,3020202,3020104,0204,0202,0104
28533,3020204,302,3020204,3020202,3020104,0204,0202,0104
28556,3020204,302,3020204,3020202,3020104,0204,0202,0104
28571,3020204,302,3020204,3020202,3020104,0204,0202,0104
28585,3020204,302,3020204,3020202,3020104,0204,0202,0104
28587,3020204,302,3020204,3020202,3020104,0204,0202,0104
28512,3020301,302,3020301,3020204,3020302,0301,0204,0302
28524,3020301,302,3020301,3020204,3020302,0301,0204,0302
28528,3020301,302,3020301,3020204,3020302,0301,0204,0302
28531,3020301,302,3020301,3020204,3020302,0301,0204,0302
28553,3020301,302,3020301,3020204,3020302,0301,0204,0302
28557,3020301,302,3020301,3020204,3020302,0301,0204,0302
28570,3020301,302,3020301,3020204,3020302,0301,0204,0302
28575,3020301,302,3020301,3020204,3020302,0301,0204,0302
28579,3020301,302,3020301,3020204,3020302,0301,0204,0302
28582,3020301,302,3020301,3020204,3020302,0301,0204,0302
28584,3020301,302,3020301,3020204,3020302,0301,0204,0302
28589,3020301,302,3020301,3020204,3020302,0301,0204,0302
28594,3020301,302,3020301,3020204,3020302,0301,0204,0302
28409,3020302,302,3020302,3020301,3020204,0302,0301,0204
28460,3020302,302,3020302,3020301,3020204,0302,0301,0204
28480,3020302,302,3020302,3020301,3020204,0302,0301,0204
28542,3020302,302,3020302,3020301,3020204,0302,0301,0204
28543,3020302,302,3020302,3020301,3020204,0302,0301,0204
28544,3020302,302,3020302,3020301,3020204,0302,0301,0204
27505,3030004,303,3030004,3030006,3030003,0004,0006,0003
27506,3030004,303,3030004,3030006,3030003,0004,0006,0003
27546,3030004,303,3030004,3030006,3030003,0004,0006,0003
28301,3030004,303,3030004,3030006,3030003,0004,0006,0003
28303,3030004,303,3030004,3030006,3030003,0004,0006,0003
28304,3030004,303,3030004,3030006,3030003,0004,0006,0003
28305,3030004,303,3030004,3030006,3030003,0004,0006,0003
28307,3030004,303,3030004,3030006,3030003,0004,0006,0003
28308,3030004,303,3030004,3030006,3030003,0004,0006,0003
28310,3030004,303,3030004,3030006,3030003,0004,0006,0003
28311,3030004,303,3030004,3030006,3030003,0004,0006,0003
