zipcode,HUC8,HUC8distance,tripletdistance,HUC4distance
27281,1010002,1541671,979,1585604
27281,1010003,1606839,979,1585604
27281,1010004,1581364,985,1585604
27281,1010005,1572164,986,1585604
27281,1010010,1608764,988,1585604
27281,1020003,1524551,935,1476950
27281,1020004,1432841,916,1476950
27281,1020005,1437014,900,1476950
27281,1030002,1365656,856,1378671
27281,1030003,1352476,856,1378671
27281,1040001,1307020,807,1300033
27281,1040002,1293045,807,1300033
27281,1060001,1248203,753,1212461
27281,1060002,1218679,753,1212461
27281,1060003,1170501,753,1212461
27281,1070001,1175593,716,1118653
27281,1070002,1173298,718,1118653
27281,1070003,1108868,682,1118653
27281,1070004,1067626,674,1118653
27281,1070005,1068277,674,1118653
27281,1070006,1118254,674,1118653
27281,1080101,1275072,768,1082824
27281,1080102,1228373,744,1082824
27281,1080103,1206032,725,1082824
27281,1080104,1159974,706,1082824
27281,1080105,1137268,706,1082824
27281,1080106,1112345,685,1082824
27281,1080107,1060584,685,1082824
27281,1080201,997301,636,1082824
27281,1080202,1051572,635,1082824
27281,1080203,1025171,622,1082824
27281,1080204,1021561,621,1082824
27281,1080205,952339,597,1082824
27281,1080206,982642,597,1082824
27281,1080207,949306,597,1082824
27281,1090001,1098569,655,1044699
27281,1090003,1033954,631,1044699
27281,1090004,1032395,655,1044699
27281,1090005,982914,631,1044699
27281,2020001,1084908,647,959295
27281,2020002,1019746,638,959295
27281,2020003,1020708,647,959295
27281,2020004,976785,603,959295
27281,2020005,916084,586,959295
27281,2020006,940408,586,959295
27281,2020008,871863,550,959295
27281,3020103,207332,117,212533
27281,3020104,265652,130,212533
27281,3020105,322729,164,212533
27281,3020202,216904,102,212533
27281,3020203,164501,102,212533
27281,3020204,243734,150,212533
27281,3020301,244307,142,212533
27281,3020302,200398,142,212533
27281,3030004,52047,45,107118
27281,3030005,164918,90,107118
27281,3030006,111515,90,107118
27281,3030007,160578,90,107118
27281,3040201,71966,58,115513
27281,3040202,117737,70,115513
27281,3040203,86348,51,115513
27281,3040204,90974,64,115513
27281,3040205,152915,70,115513
27281,3040206,135464,64,115513
27281,3040208,169328,81,115513
27281,3060106,289319,185,335485
27281,3060108,327180,197,335485
27281,3060109,338095,226,335485
27281,3060110,350327,226,335485
27281,3060201,356966,227,335485
27281,3060202,354031,237,335485
27281,3060203,385585,237,335485
27281,3060204,406145,237,335485
27281,3070102,417415,261,466593
27281,3070104,491279,282,466593
27281,3070105,455884,282,466593
27281,3070106,439271,269,466593
27281,3070107,399000,260,466593
27281,3070201,499175,300,466593
27281,3070202,463593,300,466593
27281,3070203,486934,329,466593
27281,3070204,562741,329,466593
27281,3080101,723062,417,705286
27281,3080102,676954,417,705286
27281,3080103,614037,399,705286
27281,3080201,637764,409,705286
27281,3080202,741983,476,705286
27281,3080203,837916,476,705286
27281,3100101,877379,571,863993
27281,3100102,913442,571,863993
27281,3100103,967864,571,863993
27281,3100201,922311,554,863993
27281,3100202,886647,537,863993
27281,3100204,842108,520,863993
27281,3100205,815128,511,863993
27281,3100206,857378,520,863993
27281,3100207,796445,490,863993
27281,3100208,757776,490,863993
27281,3110101,725118,435,627183
27281,3110102,687325,418,627183
27281,3110103,644554,376,627183
27281,3110201,565696,351,627183
27281,3110202,522489,351,627183
27281,3110203,607627,351,627183
27281,3110204,567922,351,627183
27281,3110205,688505,391,627183
27281,3110206,635413,391,627183
27281,3120001,684503,414,666803
27281,3120002,616774,414,666803
27281,3120003,699133,414,666803
27281,3130003,603753,342,622625
27281,3130004,667807,400,622625
27281,3130006,536228,332,622625
27281,3130007,562530,353,622625
27281,3130008,623243,371,622625
27281,3130009,608493,391,622625
27281,3130010,657652,391,622625
27281,3130012,723656,464,622625
27281,3140101,785627,488,792606
27281,3140102,814738,505,792606
27281,3140103,794783,516,792606
27281,3140104,832960,505,792606
27281,3140105,868079,554,792606
27281,3140106,892575,552,792606
27281,3140107,917760,552,792606
27281,3140201,698851,439,792606
27281,3140202,666856,425,792606
27281,3140203,758468,439,792606
27281,3140301,686961,452,792606
27281,3140303,769275,479,792606
27281,3140304,818461,506,792606
27281,3140305,857538,506,792606
27281,3150110,648130,400,618137
27281,3150201,716947,461,618137
27281,3150202,724699,461,618137
27281,3150203,785139,486,618137
27281,3150204,841046,485,618137
27281,3170001,914941,579,967621
27281,3170002,917371,575,967621
27281,3170003,944178,601,967621
27281,3170004,992303,614,967621
27281,3170005,965378,614,967621
27281,3170007,1007247,627,967621
27281,3170008,946542,597,967621
27281,3170009,1027147,627,967621
27281,3180001,933345,621,1030071
27281,3180002,1013742,621,1030071
27281,3180003,1052070,621,1030071
27281,3180004,1062837,663,1030071
27281,3180005,1088361,663,1030071
27281,4140101,921680,592,938898
27281,4140102,992367,598,938898
27281,4140201,881665,569,938898
27281,4140202,951982,575,938898
27281,4140203,946799,569,938898
27281,4150101,1026116,651,1145296
27281,4150102,1040683,655,1145296
27281,4150302,1067970,667,1145296
27281,4150303,1052685,654,1145296
27281,4150304,1102988,681,1145296
27281,4150305,1116938,695,1145296
27281,4150306,1136993,707,1145296
27281,4150307,1161255,725,1145296
27281,4150308,1203254,735,1145296
27281,4150309,1073512,655,1145296
27281,4150310,1188375,735,1145296
27281,4150401,1071937,687,1145296
27281,4150402,1110226,708,1145296
27281,4150403,1175268,750,1145296
27281,4150404,1133230,705,1145296
27281,4150405,1210680,750,1145296
27281,4150406,1139633,705,1145296
27281,4150407,1239097,742,1145296
27281,4150408,1135030,732,1145296
27281,4150500,1318339,823,1145296
27281,8050001,1149833,706,1136825
27281,8050003,1135573,706,1136825
27281,8070201,1194801,725,1174916
27281,8070202,1163885,710,1174916
27281,8070203,1146162,712,1174916
27281,8070204,1172059,721,1174916
27281,8070205,1119334,710,1174916
27281,8070300,1223088,750,1174916
27281,10020001,2997683,1857,2976430
27281,10020004,3056973,1869,2976430
27281,10020005,2965486,1841,2976430
27281,10020006,2995709,1867,2976430
27281,10020008,2897773,1820,2976430
27281,17010101,3269451,2039,3268803
27281,17010105,3347682,2085,3268803
27281,17010201,3037122,1908,3268803
27281,17010202,3094891,1929,3268803
27281,17010203,3080709,1926,3268803
27281,17010204,3200146,1953,3268803
27281,17010205,3138834,1972,3268803
27281,17010208,3184990,1987,3268803
27281,17010212,3183863,1971,3268803
27281,17010213,3268562,1999,3268803
27281,17010214,3364704,2110,3268803
27281,17010215,3396989,2110,3268803
27281,17010216,3428907,2110,3268803
27281,17010301,3322840,2068,3268803
27281,17010302,3308051,2068,3268803
27281,17010303,3356339,2083,3268803
27281,17010304,3303871,2064,3268803
27281,17010305,3381714,2102,3268803
27281,17010307,3450449,2123,3268803
27281,17010308,3413776,2122,3268803
27281,17070105,3696346,2264,3592646
27281,17070106,3671699,2264,3592646
27281,17070201,3517074,2175,3592646
27281,17070202,3500493,2191,3592646
27281,17070301,3698082,2289,3592646
27281,17070302,3700649,2289,3592646
27281,17070303,3574383,2242,3592646
27281,17070305,3653403,2271,3592646
27281,17070306,3674089,2271,3592646
27281,17080001,3742514,2341,3780687
27281,17080002,3753033,2341,3780687
27281,17080003,3811024,2341,3780687
27281,17080004,3721306,2332,3780687
27281,17080005,3785046,2344,3780687
27281,17080006,3871197,2375,3780687
27281,17090001,3763883,2360,3786245
27281,17090002,3804360,2354,3786245
27281,17090003,3828801,2343,3786245
27281,17090004,3736146,2332,3786245
27281,17090005,3751352,2347,3786245
27281,17090006,3774106,2366,3786245
27281,17090007,3806371,2367,3786245
27281,17090008,3843326,2370,3786245
27281,17090009,3782011,2349,3786245
27281,17090010,3818771,2349,3786245
27281,17090011,3741467,2349,3786245
27281,17090012,3784347,2349,3786245
27281,17100101,3930340,2431,3868240
27281,17100102,3914837,2417,3868240
27281,17100103,3824071,2399,3868240
27281,17100104,3864784,2410,3868240
27281,17100106,3881533,2396,3868240
27281,17100201,3890510,2405,3868240
27281,17100202,3852832,2403,3868240
27281,17100203,3872695,2410,3868240
27281,17100204,3880660,2408,3868240
27281,17100205,3884670,2413,3868240
27281,17100206,3864678,2407,3868240
27281,17100301,3791992,2377,3868240
27281,17100302,3827355,2400,3868240
27281,17100303,3857132,2414,3868240
27281,17100304,3904653,2429,3868240
27281,17100305,3895508,2429,3868240
27281,17100306,3930006,2429,3868240
27281,17100307,3774279,2364,3868240
27281,17100308,3811662,2380,3868240
27281,17100309,3831119,2390,3868240
27281,17100310,3849436,2407,3868240
27281,17100311,3860633,2407,3868240
27281,18010101,3901467,2421,3825171
27281,18010102,3904270,2425,3825171
27281,18010105,3872465,2424,3825171
27281,18010106,3899928,2424,3825171
27281,18010107,3935430,2424,3825171
27281,18010108,3898678,2408,3825171
27281,18010109,3879050,2408,3825171
27281,18010202,3668166,2304,3825171
27281,18010204,3678463,2290,3825171
27281,18010207,3772138,2339,3825171
27281,18010208,3811712,2355,3825171
27281,18010209,3887002,2389,3825171
27281,18010210,3839270,2389,3825171
27281,18010211,3827797,2386,3825171
27281,18010212,3855100,2386,3825171
27505,1010002,1488937,946,1532138
27505,1010003,1553741,946,1532138
27505,1010004,1527599,952,1532138
27505,1010005,1517367,952,1532138
27505,1010010,1554014,954,1532138
27505,1020003,1469481,901,1422425
27505,1020004,1378287,882,1422425
27505,1020005,1381504,866,1422425
27505,1030002,1312423,823,1324902
27505,1030003,1297749,823,1324902
27505,1040001,1254050,774,1246400
27505,1040002,1238750,774,1246400
27505,1060001,1192810,719,1157281
27505,1060002,1164225,719,1157281
27505,1060003,1114809,719,1157281
27505,1070001,1122044,682,1063756
27505,1070002,1118859,684,1063756
27505,1070003,1054553,648,1063756
27505,1070004,1012061,639,1063756
27505,1070005,1012085,639,1063756
27505,1070006,1062935,639,1063756
27505,1080101,1222709,735,1029211
27505,1080102,1176430,711,1029211
27505,1080103,1153398,693,1029211
27505,1080104,1107427,673,1029211
27505,1080105,1085424,673,1029211
27505,1080106,1059339,652,1029211
27505,1080107,1007227,652,1029211
27505,1080201,942835,603,1029211
27505,1080202,996765,601,1029211
27505,1080203,971700,588,1029211
27505,1080204,966264,587,1029211
27505,1080205,896439,563,1029211
27505,1080206,928443,563,1029211
27505,1080207,894554,563,1029211
27505,1090001,1041831,620,987444
27505,1090003,977504,596,987444
27505,1090004,975010,620,987444
27505,1090005,925478,596,987444
27505,2020001,1035975,616,908298
27505,2020002,970404,607,908298
27505,2020003,968899,616,908298
27505,2020004,928439,572,908298
27505,2020005,864716,555,908298
27505,2020006,888250,554,908298
27505,2020008,818386,517,908298
27505,3020103,148740,80,160519
27505,3020104,210586,95,160519
27505,3020105,270501,130,160519
27505,3020202,165305,67,160519
27505,3020203,106171,67,160519
27505,3020204,195606,118,160519
27505,3020301,202535,118,160519
27505,3020302,171838,118,160519
27505,3030004,16349,31,84781
27505,3030005,153175,74,84781
27505,3030006,79918,74,84781
27505,3030007,126384,74,84781
27505,3040201,124358,86,148792
27505,3040202,169598,103,148792
27505,3040203,97829,71,148792
27505,3040204,121924,74,148792
27505,3040205,204407,103,148792
27505,3040206,139858,74,148792
27505,3040208,178788,91,148792
27505,3060106,348312,222,392052
27505,3060108,387040,233,392052
27505,3060109,390869,258,392052
27505,3060110,399737,258,392052
27505,3060201,416590,262,392052
27505,3060202,409272,270,392052
27505,3060203,441116,270,392052
27505,3060204,456313,270,392052
27505,3070102,477074,298,522227
27505,3070104,549988,319,522227
27505,3070105,514541,319,522227
27505,3070106,492945,304,522227
27505,3070107,456992,295,522227
27505,3070201,553989,333,522227
27505,3070202,518311,333,522227
27505,3070203,536619,360,522227
27505,3070204,613753,360,522227
27505,3080101,765509,445,748484
27505,3080102,726348,445,748484
27505,3080103,661120,428,748484
27505,3080201,681719,436,748484
27505,3080202,781355,501,748484
27505,3080203,874851,501,748484
27505,3100101,921214,598,910171
27505,3100102,958638,598,910171
27505,3100103,1012008,598,910171
27505,3100201,968599,583,910171
27505,3100202,932863,566,910171
27505,3100204,887789,549,910171
27505,3100205,861942,541,910171
27505,3100206,904950,549,910171
27505,3100207,845351,520,910171
27505,3100208,804912,520,910171
27505,3110101,776377,467,681880
27505,3110102,741897,452,681880
27505,3110103,701211,412,681880
27505,3110201,619528,386,681880
27505,3110202,580315,387,681880
27505,3110203,664326,387,681880
27505,3110204,625938,387,681880
27505,3110205,740764,423,681880
27505,3110206,686564,423,681880
27505,3120001,741771,450,724678
27505,3120002,675037,450,724678
27505,3120003,757225,450,724678
27505,3130003,664005,379,681642
27505,3130004,727602,437,681642
27505,3130006,595762,369,681642
27505,3130007,622535,390,681642
27505,3130008,682217,408,681642
27505,3130009,668216,428,681642
27505,3130010,717087,428,681642
27505,3130012,783041,500,681642
27505,3140101,844663,525,852687
27505,3140102,874640,543,852687
27505,3140103,854953,554,852687
27505,3140104,893185,543,852687
27505,3140105,928187,592,852687
27505,3140106,952830,590,852687
27505,3140107,977962,590,852687
27505,3140201,758985,477,852687
27505,3140202,727110,462,852687
27505,3140203,818240,477,852687
27505,3140301,747195,489,852687
