Zipcode,HUC8
01001,01080205
01002,01080201
01003,01080201
01005,01080204
01007,01080204
01008,01080206
01009,01080204
01010,01100001
01011,01080206
01012,01080206
01013,01080204
01020,01080204
01022,01080201
01026,01080206
01027,01080201
01028,01080205
01029,01080207
01030,01080205
01031,01080204
01032,01080206
01033,01080201
01034,01080207
01035,01080201
01036,01080205
01037,01080204
01038,01080201
01039,01080201
01040,01080201
01050,01080206
01053,01080201
01054,01080201
01056,01080204
01057,01080204
01060,01080201
01062,01080201
01063,01080201
01066,01080201
01068,01080204
01069,01080204
01070,01080206
01071,01080206
01072,01080201
01073,01080201
01074,01080204
01075,01080201
01077,01080206
01079,01080204
01080,01080204
01081,01100001
01082,01080204
01083,01080204
01084,01080206
01085,01080206
01088,01080201
01089,01080206
01092,01080204
01093,01080201
01094,01080204
01095,01080205
01096,01080201
01097,01080206
01098,01080206
01103,01080201
01104,01080204
01105,01080201
01106,01080205
01107,01080201
01108,01080205
01109,01080205
01118,01080205
01119,01080205
01128,01080205
01129,01080205
01144,01080201
01151,01080204
01201,01100005
01220,02020003
01222,01100005
01223,01080206
01224,02020003
01225,02020003
01226,01100005
01229,01100005
01230,01100005
01235,01100005
01236,01100005
01237,02020003
01238,01100005
01240,01100005
01242,01100005
01243,01080206
01244,01100005
01245,01100005
01247,02020003
01253,01080207
01254,01100005
01255,01080207
01256,01080203
01257,01100005
01258,02020006
01259,01100005
01260,01100005
01262,01100005
01264,01100005
01266,01100005
01267,02020003
01270,01080206
01301,01080203
01330,01080203
01331,01080202
01337,01080201
01338,01080203
01339,01080203
01340,01080203
01341,01080203
01342,01080203
01343,01080203
01344,01080202
01346,01080203
01347,01080201
01349,01080202
01350,01080203
01351,01080201
01354,01080201
01355,01080204
01360,01080201
01364,01080202
01366,01080204
01367,01080203
01368,01080202
01370,01080203
01373,01080201
01375,01080201
01376,01080201
01378,01080202
01379,01080202
01380,01080202
01420,01070004
01430,01080202
01431,01070004
01432,01070004
01434,01070004
01436,01080202
01438,01080202
01440,01080202
01450,01070004
01451,01070004
01452,01080204
01453,01070004
01460,01070006
01462,01070004
01463,01070004
01464,01070004
01468,01080202
01469,01070004
01473,01070004
01474,01070004
01475,01080202
01501,01090003
01503,01070005
01504,01090003
01505,01070004
01506,01080204
